base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Persuading others', 'Full label': '""Influencing , persuading others""'}",Relationship Building,"We selected the social goal category 'Relationship Building' for the shared goal 'Influencing, persuading others' because influencing and persuading often rely on establishing trust and rapport, which are key aspects of relationship building. Each agent will have distinct personal goals that reflect their individual motivations within this context, and their social roles will shape how they interact to achieve both their personal and shared goals.",To persuade the other agent to adopt their viewpoint by building trust and demonstrating expertise.,"To resist persuasion while maintaining a positive relationship, ensuring their own viewpoint is heard and considered.","""Influencing , persuading others""",Persuader (Expert),Skeptic (Critical Thinker),"{'scenario_context': ""[Agent 1], an expert in sustainable urban planning, is presenting a proposal to [Agent 2], a skeptical but open-minded community representative, about implementing a new green infrastructure project in their neighborhood. The shared goal is to influence and persuade others in the community to support the project, which aims to improve environmental sustainability and quality of life. [Agent 1] seeks to build trust and demonstrate expertise to win [Agent 2]'s endorsement, while [Agent 2] aims to critically evaluate the proposal without outright rejection, ensuring community concerns are addressed while maintaining a collaborative relationship.""}",0.7908838585329553,"{'shared_goal_score': 0.9974943399429321, 'social_goal_category_score': 0.9638382792472839, 'first_agent_goal_score': 0.9999251365661621, 'second_agent_goal_score': 0.009011146612465382, 'first_agent_role_score': 0.987143874168396, 'second_agent_role_score': 0.7878903746604919}"
"{'Abbreviation': 'Control over others', 'Full label': '""Having control over others""'}",Competition,"Given the shared goal of 'Having control over others,' the most relevant social goal category is 'Competition,' as both agents are likely to compete for dominance and control in their interaction. Each agent's personal goal should reflect their desire to assert control, but from different perspectives and motivations. The social roles assigned to each agent will further shape how they interact, with one taking on a more authoritative role and the other a more manipulative role.",To establish undeniable authority over the other agent by demonstrating superior knowledge and decision-making skills.,To subtly manipulate the other agent into relinquishing control through persuasive tactics and emotional appeals.,"""Having control over others""",Authority Figure,Manipulative Strategist,"{'scenario_context': ""[Agent 1], an experienced team leader, is leading a project meeting where [Agent 2], a skilled but covertly ambitious team member, is present. Both agents are ostensibly working toward the shared goal of finalizing the project's strategic direction to ensure its success. [Agent 1] aims to assert control over the meeting by meticulously directing each decision and overshadowing any alternative suggestions, thereby reinforcing their authority. Meanwhile, [Agent 2] seeks to subtly influence the discussion by appealing to [Agent 1]'s sense of reason and team harmony, steering decisions toward their own preferred outcomes without overtly challenging [Agent 1]'s leadership.""}",0.8706579903761545,"{'shared_goal_score': 0.9763162732124329, 'social_goal_category_score': 0.7912014722824097, 'first_agent_goal_score': 0.9994863271713257, 'second_agent_goal_score': 0.9994015097618103, 'first_agent_role_score': 0.8763073682785034, 'second_agent_role_score': 0.5812349915504456}"
"{'Abbreviation': 'Self-esteem', 'Full label': '""Having high self-image , self-esteem , self-respect , feeling good about myself""'}",Identity Recognition,"The shared goal revolves around maintaining a positive self-image and self-esteem, which aligns closely with social interactions that affirm one's identity and relationships. 'Identity Recognition' is the most fitting social goal category as it involves interactions where individuals seek acknowledgment and validation of their personal qualities and achievements from others.",To receive validation from the other agent regarding personal accomplishments and qualities to reinforce self-esteem.,"To express admiration and support for the first agent's qualities and achievements, thereby strengthening their relationship.","""Having high self-image , self-esteem , self-respect , feeling good about myself""",Confident Individual,Supportive Friend,"{'scenario_context': '[Agent 1] and [Agent 2] are longtime friends catching up over coffee at a cozy café. Both share the goal of reinforcing their positive self-image through mutual validation and admiration. [Agent 1], a confident individual, hopes to receive recognition for recent personal achievements—such as a promotion at work and completing a marathon—and wants [Agent 2]’s affirmation to boost their self-esteem. Meanwhile, [Agent 2], a naturally supportive friend, is eager to express genuine admiration for [Agent 1]’s accomplishments, aiming to strengthen their bond and foster positivity in the conversation. The atmosphere is relaxed and cooperative, with both agents eager to uplift each other.'}",0.9788095057010651,"{'shared_goal_score': 0.9783002138137817, 'social_goal_category_score': 0.8994338512420654, 'first_agent_goal_score': 0.9999253153800964, 'second_agent_goal_score': 0.9999524354934692, 'first_agent_role_score': 0.9981309175491333, 'second_agent_role_score': 0.9971143007278442}"
"{'Abbreviation': 'Mentor', 'Full label': '""Having a mentor , someone to guide me""'}",Relationship Building,"The shared goal 'Having a mentor, someone to guide me' naturally fits the social goal category of 'Relationship Building'. This is because mentoring involves forming and nurturing a relationship between the mentor and the mentee. The mentor's role is to provide guidance, while the mentee's role is to seek advice and learn. Their personal goals should reflect their motivations within this dynamic.",To establish trust and credibility as a mentor by providing valuable guidance and tailored advice.,To engage actively with the mentor by asking relevant questions and applying learned insights to personal challenges.,"""Having a mentor , someone to guide me""",Mentor,Mentee,"{'scenario_context': 'In a professional development program, [Agent 1], an experienced mentor, meets with [Agent 2], a mentee eager to learn and grow. The shared goal is for [Agent 2] to find guidance and support from [Agent 1], while [Agent 1] aims to establish trust and credibility by offering tailored advice. [Agent 2] seeks to actively engage with the mentor, asking relevant questions and applying insights to personal challenges. The meeting takes place in a quiet office space, fostering a focused and supportive environment for their conversation.'}",0.9215433299541473,"{'shared_goal_score': 0.9139086604118347, 'social_goal_category_score': 0.8583292961120605, 'first_agent_goal_score': 0.9997939467430115, 'second_agent_goal_score': 0.9999447464942932, 'first_agent_role_score': 0.9059149026870728, 'second_agent_role_score': 0.8513684272766113}"
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Conflict Resolution,"The shared goal 'Accepting life’s limitations' involves coping with personal and interpersonal challenges, making 'Conflict Resolution' the most relevant social goal category. This category allows for personal goals that reflect differing perspectives on limitations and how to accept them. The first agent's personal goal is focused on emotional acceptance, while the second agent's goal is practical adaptation. Their social roles—'Emotional Supporter' and 'Practical Advisor'—complement each other in addressing the shared goal.",To emotionally accept personal limitations without resentment,To identify practical ways to adapt to life’s limitations,"""Accepting life’s limitations""",Emotional Supporter,Practical Advisor,"{'scenario_context': ""[Agent 1] and [Agent 2] are close friends who regularly meet to discuss life challenges and support each other. Today, they are sitting in a quiet cafe, having agreed to talk about [Agent 1]'s recent struggle with accepting personal limitations due to a chronic health condition. [Agent 1] seeks emotional support to come to terms with these limitations without feeling resentful, while [Agent 2] aims to offer practical advice on how [Agent 1] can adapt daily routines and activities to better accommodate these limitations. Their shared goal is to help [Agent 1] accept life’s limitations in a healthy and constructive way.""}",0.9183411498864492,"{'shared_goal_score': 0.9998135566711426, 'social_goal_category_score': 0.5636959075927734, 'first_agent_goal_score': 0.9998804330825806, 'second_agent_goal_score': 0.999915361404419, 'first_agent_role_score': 0.9924631118774414, 'second_agent_role_score': 0.9542785286903381}"
"{'Abbreviation': 'Knowing myself', 'Full label': '""Knowing myself , being in touch with myself""'}",Identity Recognition,"Given the shared goal 'Knowing myself, being in touch with myself,' the most relevant social goal category is 'Identity Recognition,' as it involves understanding and affirming one's own identity and role in social contexts. The two agents will have complementary roles and personal goals that reflect their unique perspectives on self-awareness and identity.",To explore and articulate personal values and beliefs in order to better understand oneself.,To provide reflections and feedback that help the other agent gain clarity about their identity.,"""Knowing myself , being in touch with myself""",Self-Explorer,Reflective Listener,"{'scenario_context': ""[Agent 1] and [Agent 2] are sitting together in a quiet, comfortable space, perhaps a cozy café or a peaceful park bench. [Agent 1], acting as the Self-Explorer, has been reflecting on their personal values and beliefs lately and wishes to articulate these thoughts aloud to gain a clearer understanding of their own identity. [Agent 2], serving as the Reflective Listener, is there to attentively listen and offer thoughtful feedback, helping [Agent 1] process and clarify their self-perception. The shared goal of 'knowing myself, being in touch with myself' guides their interaction, with both agents committed to creating an open and supportive environment for this exploration.""}",0.9558250109354655,"{'shared_goal_score': 0.9997738003730774, 'social_goal_category_score': 0.7595609426498413, 'first_agent_goal_score': 0.9999765157699585, 'second_agent_goal_score': 0.9999729990959167, 'first_agent_role_score': 0.9861640334129333, 'second_agent_role_score': 0.9895017743110657}"
"{'Abbreviation': 'Being respected', 'Full label': '""Being respected by others""'}",Identity Recognition,"The shared goal 'Being respected by others' can be approached through various social goal categories. Here, we choose 'Identity Recognition' as the social goal category because respect is often tied to how individuals perceive and acknowledge each other's identities and roles. For the first agent, we define a personal goal of 'Being acknowledged as an authority in their field', which reflects their motivation to gain respect through expertise. The second agent's personal goal is 'Being valued for their contributions to the team', which focuses on gaining respect through teamwork and reliability. The roles assigned are 'Expert' for the first agent, who will interact by showcasing their knowledge, and 'Team Player' for the second agent, who will interact by demonstrating collaboration and support.",Being acknowledged as an authority in their field,Being valued for their contributions to the team,"""Being respected by others""",Expert,Team Player,"{'scenario_context': 'At a professional conference, [Agent 1], an established expert in their field, is presenting their latest research to a group of peers. [Agent 2], a dedicated team player known for their collaborative efforts, is part of the audience and has previously worked on related projects. Both agents share the goal of being respected by others in the field. [Agent 1] aims to be acknowledged as an authority in their domain through their presentation, while [Agent 2] seeks to be valued for their contributions to the team’s past projects. The setting is a Q&A session following the presentation, where both agents have the opportunity to interact and achieve their personal goals while maintaining mutual respect.'}",0.9376197655995687,"{'shared_goal_score': 0.999013364315033, 'social_goal_category_score': 0.7911868095397949, 'first_agent_goal_score': 0.9996082782745361, 'second_agent_goal_score': 0.9993937611579895, 'first_agent_role_score': 0.8488744497299194, 'second_agent_role_score': 0.9876419305801392}"
"{'Abbreviation': 'Pleasing God', 'Full label': '""Pleasing God""'}",Relationship Building,"Given the shared goal 'Pleasing God', the social goal category 'Relationship Building' is chosen as it emphasizes fostering a connection with the divine, which aligns with religious or spiritual contexts. The personal goals for each agent reflect their unique motivations within this context, and their social roles shape their interactions.",To deepen their personal connection with God through prayer and devotion.,To inspire others to strengthen their faith and commitment to God.,"""Pleasing God""",Devotee,Preacher,"{'scenario_context': ""A small, serene chapel in the countryside serves as the setting where [Agent 1], a devout worshipper, and [Agent 2], a passionate preacher, have gathered. The chapel is bathed in the soft glow of candlelight, creating an atmosphere of peace and reflection. Both agents share the overarching goal of 'Pleasing God,' but their personal motivations differ subtly. [Agent 1] seeks to deepen their personal connection with God through quiet prayer and devotion, while [Agent 2] aims to use this moment to inspire and uplift those around them, reinforcing their faith. The shared space offers a harmonious blend of introspection and communal worship, aligning their goals naturally.""}",0.7262149453163147,"{'shared_goal_score': 0.932348370552063, 'social_goal_category_score': 0.3897722363471985, 'first_agent_goal_score': 0.9966010451316833, 'second_agent_goal_score': 0.9992063641548157, 'first_agent_role_score': 0.8995841145515442, 'second_agent_role_score': 0.1397775411605835}"
"{'Abbreviation': 'Standing up for beliefs', 'Full label': '""Standing up for my beliefs""'}",Conflict Resolution,"The shared goal 'Standing up for my beliefs' suggests that the agents are engaging in a situation where their personal convictions are at stake. This scenario naturally aligns with the 'Conflict Resolution' social goal category, as differing beliefs can lead to conflict, and the agents may aim to resolve or manage this conflict through their interaction. Additionally, 'Identity Recognition' is relevant because standing up for one's beliefs often involves asserting one's identity and seeking recognition from others.",To persuade the other agent to acknowledge the validity of their beliefs without compromising their own convictions.,To challenge the first agent's beliefs in a way that prompts reflection while maintaining mutual respect.,"""Standing up for my beliefs""",Advocate,Skeptic,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues participating in a casual workplace debate club. The topic for today's discussion is 'The Importance of Standing Up for One's Beliefs.' [Agent 1], as an Advocate, is passionate about encouraging others to stay true to their convictions. [Agent 2], as a Skeptic, enjoys questioning ideas to deepen understanding. Both agents share the goal of exploring the topic meaningfully, but [Agent 1] aims to persuade [Agent 2] to acknowledge the validity of their beliefs without compromising, while [Agent 2] seeks to challenge [Agent 1]'s views in a respectful manner that prompts reflection.""}",0.8018458485603333,"{'shared_goal_score': 0.3759792447090149, 'social_goal_category_score': 0.7959522008895874, 'first_agent_goal_score': 0.9996265769004822, 'second_agent_goal_score': 0.9999237060546875, 'first_agent_role_score': 0.9014238119125366, 'second_agent_role_score': 0.7381695508956909}"
"{'Abbreviation': 'Being carefree', 'Full label': '""Being lighthearted , carefree , enjoying life""'}",Relationship Building,"Given the shared goal of 'Being lighthearted, carefree, enjoying life,' the most fitting social goal category is 'Relationship Building,' as it emphasizes fostering positive social interactions that align with enjoyment and carefree attitudes. Each agent's personal goal should reflect their motivation to contribute to this atmosphere while maintaining their unique perspectives. Their assigned roles will shape how they interact within this context.",To create a fun and engaging atmosphere that encourages laughter and relaxation.,To share personal stories and experiences that highlight joy and carefree moments.,"""Being lighthearted , carefree , enjoying life""",Social Facilitator,Storyteller,"{'scenario_context': ""At a casual beachside gathering, [Agent 1] and [Agent 2] find themselves seated around a bonfire with a small group of friends. The evening is warm, the fire is crackling, and the sound of waves in the background sets a perfect backdrop for relaxation. [Agent 1], as the Social Facilitator, aims to keep the mood light and fun by initiating playful activities and encouraging everyone to unwind. Meanwhile, [Agent 2], the Storyteller, is eager to share amusing anecdotes from their recent travels, hoping to spark laughter and camaraderie. Both agents share the goal of creating a carefree and enjoyable atmosphere, blending their roles seamlessly to enhance the group's experience.""}",0.9514460066954294,"{'shared_goal_score': 0.9842950701713562, 'social_goal_category_score': 0.773064911365509, 'first_agent_goal_score': 0.9999659061431885, 'second_agent_goal_score': 0.9998917579650879, 'first_agent_role_score': 0.9827953577041626, 'second_agent_role_score': 0.9686630368232727}"
"{'Abbreviation': 'Feeling meshed', 'Full label': '""Having emotional intimacy , feeling really meshed with another""'}",Relationship Building,"The shared goal of 'Having emotional intimacy, feeling really meshed with another' aligns most closely with the social goal category of 'Relationship Building'. This category focuses on establishing deeper connections and understanding between individuals, which is essential for emotional intimacy. The personal goals for each agent should reflect their unique motivations and perspectives while contributing to the shared goal. The social roles assigned will shape how each agent interacts to achieve both their personal and shared goals.","To feel understood and validated by the other person, ensuring their emotions and thoughts are acknowledged.",To create a safe and trusting environment where the other person feels comfortable opening up and sharing their inner thoughts.,"""Having emotional intimacy , feeling really meshed with another""",Emotional Seeker,Supportive Listener,"{'scenario_context': '[Agent 1] and [Agent 2] are close friends who have decided to spend an evening together in a quiet, cozy setting—perhaps a living room with soft lighting or a peaceful outdoor space under the stars. Both agents share the goal of deepening their emotional intimacy and feeling truly connected. [Agent 1], as the Emotional Seeker, hopes to express their feelings and thoughts openly, seeking understanding and validation from [Agent 2]. Meanwhile, [Agent 2], as the Supportive Listener, aims to foster a safe and trusting atmosphere, encouraging [Agent 1] to share their inner world without hesitation. The situation is relaxed and free from external pressures, making it easy for both to align their goals and engage in meaningful interaction.'}",0.981536328792572,"{'shared_goal_score': 0.9998098611831665, 'social_goal_category_score': 0.8991801738739014, 'first_agent_goal_score': 0.999951183795929, 'second_agent_goal_score': 0.9999736547470093, 'first_agent_role_score': 0.9934939742088318, 'second_agent_role_score': 0.9968091249465942}"
"{'Abbreviation': 'Support from others', 'Full label': '""Receiving support from others on projects I believe in""'}",Relationship Building,"The shared goal 'Receiving support from others on projects I believe in' aligns most closely with the social goal category 'Relationship Building' because it involves fostering connections and trust to gain support. The first agent seeks to build trust and demonstrate the value of their project to attract support, while the second agent aims to establish a relationship that allows them to provide meaningful support and feel valued in return. The roles of 'Project Advocate' and 'Supportive Peer' are chosen to reflect their respective motivations and interactions.",Build trust and demonstrate the value of their project to attract support from others.,Establish a relationship that allows them to provide meaningful support and feel valued in return.,"""Receiving support from others on projects I believe in""",Project Advocate,Supportive Peer,"{'scenario_context': ""[Agent 1], a Project Advocate, is seeking support for a new community project they strongly believe in. They approach [Agent 2], a Supportive Peer, during a casual networking event. Both share the goal of receiving and providing meaningful support for projects they value. [Agent 1] aims to build trust and demonstrate the project's potential to gain [Agent 2]'s endorsement, while [Agent 2] hopes to establish a trustworthy relationship where they can contribute meaningfully and feel appreciated for their input. The setting is relaxed and conducive to open conversation, with no immediate obstacles to their collaboration.""}",0.9895746211210886,"{'shared_goal_score': 0.9995322227478027, 'social_goal_category_score': 0.9711569547653198, 'first_agent_goal_score': 0.999944806098938, 'second_agent_goal_score': 0.9999364018440247, 'first_agent_role_score': 0.9824253916740417, 'second_agent_role_score': 0.984451949596405}"
"{'Abbreviation': 'Being self-sufficient', 'Full label': '""Being independent , self-reliant , self-sufficient""'}",Cooperation,"The chosen social goal category, 'Cooperation,' aligns with the shared goal of independence and self-reliance because achieving self-sufficiency often requires collaboration and mutual support, even if the ultimate aim is independence. Each agent's personal goal reflects their unique perspective on how to achieve independence: one focuses on acquiring skills to become self-reliant, while the other seeks to share knowledge to help others become self-sufficient. Their social roles (Mentor and Apprentice) shape their interaction dynamics, with one guiding and the other learning, yet both working together toward the shared goal.",To acquire new skills and knowledge that will enable greater self-reliance.,To teach and share expertise with others to foster mutual self-sufficiency.,"""Being independent , self-reliant , self-sufficient""",Apprentice,Mentor,"{'scenario_context': ""[Agent 1], an apprentice eager to learn new skills for greater self-reliance, seeks guidance from [Agent 2], a mentor dedicated to teaching others to foster mutual self-sufficiency. They meet in a workshop setting, surrounded by tools and materials, where [Agent 2] is preparing to share expertise on a practical skill that aligns with [Agent 1]'s goal of becoming more independent. Both are motivated by cooperation and a shared desire to achieve self-sufficiency, creating a straightforward and supportive environment for their interaction.""}",0.9877311686674753,"{'shared_goal_score': 0.993334949016571, 'social_goal_category_score': 0.9801963567733765, 'first_agent_goal_score': 0.999908983707428, 'second_agent_goal_score': 0.9999059438705444, 'first_agent_role_score': 0.9822595715522766, 'second_agent_role_score': 0.9707812070846558}"
"{'Abbreviation': 'Finding higher meaning', 'Full label': '""Finding higher meaning in life , coherence , harmony , oneness""'}",Relationship Building,"Given the shared goal of 'Finding higher meaning in life, coherence, harmony, oneness', the most relevant social goal category is 'Relationship Building'. This category aligns well with the pursuit of deeper connections and understanding, which are essential for exploring higher meaning and harmony in life.",To inspire and guide the other agent towards a deeper spiritual understanding and personal enlightenment.,To seek and internalize wisdom from the other agent to achieve a sense of inner peace and harmony.,"""Finding higher meaning in life , coherence , harmony , oneness""",Spiritual Mentor,Seeker of Wisdom,"{'scenario_context': ""The two agents meet in a serene and tranquil garden, a place known for fostering introspection and spiritual growth. [Agent 1], the Spiritual Mentor, has arrived with the intention of guiding [Agent 2], the Seeker of Wisdom, towards a deeper understanding of life's higher meaning and personal enlightenment. [Agent 2] is eager to learn and absorb the wisdom shared by [Agent 1] to find inner peace and harmony. The garden's peaceful atmosphere provides the perfect setting for their shared goal of seeking coherence, oneness, and spiritual fulfillment.""}",0.977798213561376,"{'shared_goal_score': 0.9998949766159058, 'social_goal_category_score': 0.8771892189979553, 'first_agent_goal_score': 0.9999459385871887, 'second_agent_goal_score': 0.9999291896820068, 'first_agent_role_score': 0.9921150803565979, 'second_agent_role_score': 0.9977148771286011}"
"{'Abbreviation': 'Thinking intellectually', 'Full label': '""Being able to think intellectually (handle data , extract ideas , devise hypotheses , analyze , synthesize information)""'}",Cooperation,"Given the shared goal of 'Being able to think intellectually,' the most fitting social goal category is 'Cooperation,' as it involves working together to achieve a common intellectual objective. Each agent will have distinct personal goals that align with their roles and motivations while contributing to the shared goal.","To synthesize complex information and present it in a clear, structured manner to facilitate mutual understanding.",To analyze and critique presented ideas rigorously to ensure their validity and robustness.,"""Being able to think intellectually (handle data , extract ideas , devise hypotheses , analyze , synthesize information)""",Facilitator (focuses on organizing and presenting information for clarity and coherence),Critic (focuses on evaluating ideas and ensuring logical consistency and depth),"{'scenario_context': '[Agent 1] and [Agent 2] are working together on a project that requires them to jointly develop a comprehensive intellectual framework. Their shared goal is to think critically and collaboratively about complex data, extracting meaningful ideas and hypotheses. [Agent 1], as the Facilitator, has prepared a structured presentation of synthesized information to ensure clarity and coherence. [Agent 2], as the Critic, will rigorously analyze this information to validate its logical consistency and depth. The setting is a quiet meeting room with a whiteboard and project materials, conducive to focused discussion and cooperative problem-solving.'}",0.9914905726909637,"{'shared_goal_score': 0.9993716478347778, 'social_goal_category_score': 0.951531708240509, 'first_agent_goal_score': 0.9999600648880005, 'second_agent_goal_score': 0.9999456405639648, 'first_agent_role_score': 0.9997541904449463, 'second_agent_role_score': 0.998380184173584}"
"{'Abbreviation': 'Taking risks', 'Full label': '""Not being fearful , being able to take risks""'}",Relationship Building,"The shared goal 'Not being fearful, being able to take risks' involves overcoming fear and embracing risk-taking behavior. This aligns well with the 'Relationship Building' category, as it involves personal growth and support from others to achieve confidence and risk-taking. Each agent will have distinct personal goals that reflect their motivations within this context. Agent 1, acting as a 'Mentor', aims to encourage and validate risk-taking behaviors, while Agent 2, as a 'Seeker', focuses on overcoming fear and gaining confidence in taking risks.",Encourage and validate risk-taking behaviors to boost the other agent's confidence.,Overcome personal fear and gain confidence in taking risks with support from the other agent.,"""Not being fearful , being able to take risks""",Mentor,Seeker,"{'scenario_context': ""[Agent 1], a Mentor, and [Agent 2], a Seeker, are attending a workshop focused on personal growth and overcoming fears. The workshop includes an activity where participants must share a personal risk they are hesitant to take and receive support from their peers. [Agent 1] aims to encourage and validate [Agent 2]'s risk-taking behaviors to boost their confidence, while [Agent 2] hopes to overcome their personal fear and gain confidence in taking risks with [Agent 1]'s support. The shared goal for both is to move past fear and embrace risk-taking in a supportive environment.""}",0.9558319846789042,"{'shared_goal_score': 0.9474809169769287, 'social_goal_category_score': 0.8288359045982361, 'first_agent_goal_score': 0.999860405921936, 'second_agent_goal_score': 0.9999454617500305, 'first_agent_role_score': 0.9827325344085693, 'second_agent_role_score': 0.9761366844177246}"
"{'Abbreviation': 'Being recognized', 'Full label': '""Being admired , recognized by others""'}",Identity Recognition,"Given the shared goal of being admired and recognized by others, the most relevant social goal category is 'Identity Recognition', as it directly relates to how individuals seek acknowledgment and validation of their identity from others. Each agent will have distinct personal goals that align with their desire for admiration and recognition, but will approach it from different angles based on their social roles.",To showcase their achievements and unique talents in a way that garners admiration and validation from the other agent.,"To subtly influence the conversation towards highlighting their own unrecognized contributions, seeking acknowledgment from the other agent.","""Being admired , recognized by others""",The Achiever,The Humble Contributor,"{'scenario_context': '[Agent 1] and [Agent 2] are attending a small gathering of colleagues celebrating a recent team success. The setting is informal, with drinks and light conversation. Both agents have contributed to the project in different ways, and while the shared goal is to enjoy the recognition of their collective efforts, each has a personal motive. [Agent 1], known as The Achiever, seeks to highlight their standout achievements during the project, aiming to receive admiration and validation from [Agent 2]. Meanwhile, [Agent 2], The Humble Contributor, wants to gently steer the conversation towards their own behind-the-scenes contributions, hoping to gain acknowledgment from [Agent 1] without overtly boasting. The atmosphere is cooperative, with both agents open to celebrating each other’s roles in the success.'}",0.771482748289903,"{'shared_goal_score': 0.9843785762786865, 'social_goal_category_score': 0.8345038890838623, 'first_agent_goal_score': 0.9996988773345947, 'second_agent_goal_score': 0.9999260306358337, 'first_agent_role_score': 0.5803197622299194, 'second_agent_role_score': 0.2300693541765213}"
"{'Abbreviation': 'Content with myself', 'Full label': '""Being happy , content with myself , having inner harmony , freedom from inner conflict""'}",Relationship Building,"The shared goal focuses on achieving personal happiness and inner harmony, which aligns well with the 'Relationship Building' category. This category emphasizes creating and nurturing interpersonal connections that can contribute to personal well-being. The first agent's personal goal is to find emotional support and validation, reflecting their need for reassurance in achieving inner harmony. The second agent's personal goal is to inspire and motivate others, showing their desire to positively influence those around them. Their social roles, 'Seeker of Reassurance' and 'Motivational Guide', respectively, shape their interactions towards achieving these personal and shared goals.",To find emotional support and validation to feel secure in their pursuit of inner harmony.,To inspire and motivate the other agent to help them achieve their own happiness and contentedness.,"""Being happy , content with myself , having inner harmony , freedom from inner conflict""",Seeker of Reassurance,Motivational Guide,"{'scenario_context': '[Agent 1] and [Agent 2] meet at a quiet coffee shop for a casual afternoon chat. [Agent 1], who has been feeling uncertain about their path to inner harmony, seeks emotional support and reassurance from [Agent 2]. [Agent 2], who naturally takes on a motivational role, aims to uplift and guide [Agent 1] toward their own happiness and contentment. Both share the overarching goal of finding peace and freedom from inner conflict, creating a cooperative and supportive atmosphere.'}",0.9703928728898367,"{'shared_goal_score': 0.9977996349334717, 'social_goal_category_score': 0.8765876889228821, 'first_agent_goal_score': 0.9994996190071106, 'second_agent_goal_score': 0.9999455809593201, 'first_agent_role_score': 0.9913954138755798, 'second_agent_role_score': 0.9571292996406555}"
"{'Abbreviation': 'Being affectionate', 'Full label': '""Being affectionate toward others""'}",Relationship Building,"The shared goal 'Being affectionate toward others' aligns most closely with 'Relationship Building' and 'Relationship Maintenance' categories, as affection is a key component in forming and sustaining interpersonal relationships. For this task, we will focus on 'Relationship Building' to explore how agents with distinct personal goals and social roles express affection through their interactions.",To express affection in a way that strengthens emotional bonds with the other agent.,To receive and acknowledge affection in a manner that validates the emotional effort of the other agent.,"""Being affectionate toward others""",Affectionate Initiator,Appreciative Recipient,"{'scenario_context': ""[Agent 1] and [Agent 2] are close friends who have planned a cozy evening together at [Agent 1]'s home. The shared goal is to spend quality time strengthening their emotional bond through affectionate interactions. [Agent 1], as the Affectionate Initiator, has prepared a heartfelt surprise—a handmade photo album capturing their cherished memories—to express their affection. [Agent 2], as the Appreciative Recipient, is looking forward to acknowledging and validating [Agent 1]'s efforts, aiming to make [Agent 1] feel loved and appreciated in return. The atmosphere is warm and relaxed, with both agents eager to deepen their connection through mutual affection and appreciation.""}",0.9920012553532919,"{'shared_goal_score': 0.9937429428100586, 'social_goal_category_score': 0.9694600701332092, 'first_agent_goal_score': 0.9999704360961914, 'second_agent_goal_score': 0.9999622702598572, 'first_agent_role_score': 0.9940860867500305, 'second_agent_role_score': 0.994785726070404}"
"{'Abbreviation': 'Close spouse', 'Full label': '""Being close to my spouse""'}",Relationship Maintenance,"The shared goal 'Being close to my spouse' inherently involves emotional intimacy and mutual understanding, making 'Relationship Maintenance' the most fitting social goal category. This category focuses on sustaining and nurturing existing relationships, which aligns perfectly with the context of maintaining closeness in a marital relationship. The personal goals for each agent are designed to reflect individual motivations within this shared relationship context, ensuring they are evaluable in a conversation by observing behaviors like attentiveness, emotional support, or engagement in joint activities. The assigned social roles (e.g., 'Emotional Supporter' and 'Activity Planner') further shape how each agent contributes to the relationship dynamics while pursuing their personal goals.",To ensure my spouse feels emotionally supported and valued in our relationship.,To create shared experiences that strengthen our emotional bond and mutual understanding.,"""Being close to my spouse""",Emotional Supporter,Activity Planner,"{'scenario_context': ""[Agent 1] and [Agent 2] are a married couple spending a quiet evening at home. [Agent 1], as the Emotional Supporter, has prepared a cozy atmosphere with soft lighting and their spouse's favorite music playing in the background, aiming to create a safe space for open emotional connection. [Agent 2], the Activity Planner, has arranged materials for a couples' painting activity, hoping to foster mutual understanding through shared creative expression. Both agents share the common goal of strengthening their marital bond through meaningful interaction while pursuing their complementary approaches to relationship maintenance.""}",0.975109726190567,"{'shared_goal_score': 0.9900693297386169, 'social_goal_category_score': 0.9912794828414917, 'first_agent_goal_score': 0.9993515610694885, 'second_agent_goal_score': 0.9999606609344482, 'first_agent_role_score': 0.9526451230049133, 'second_agent_role_score': 0.9173521995544434}"
"{'Abbreviation': 'Being responsible', 'Full label': '""Being responsible , dependable""'}",Relationship Maintenance,"Given the shared goal of 'Being responsible, dependable,' we selected the social goal category 'Relationship Maintenance,' as this goal often involves sustaining trust and reliability in interpersonal relationships. Each agent's personal goal reflects their unique motivation while aligning with the shared goal. The social roles assigned to the agents ('Supervisor' and 'Subordinate') create a dynamic where interaction is influenced by hierarchical responsibilities while striving for dependability.",Ensure that tasks are completed reliably to maintain trust in the relationship.,Demonstrate consistent dependability to uphold their reputation in the relationship.,"""Being responsible , dependable""",Supervisor,Subordinate,"{'scenario_context': ""[Agent 1], the Supervisor, and [Agent 2], the Subordinate, are working together on a project with a tight deadline. Both share the goal of being responsible and dependable to ensure the project's success. [Agent 1] aims to ensure tasks are completed reliably to maintain trust in their professional relationship, while [Agent 2] wants to demonstrate consistent dependability to uphold their reputation as a reliable team member. The atmosphere is cooperative, with both agents aligned in their efforts to meet the deadline efficiently.""}",0.978242427110672,"{'shared_goal_score': 0.9997962713241577, 'social_goal_category_score': 0.923088788986206, 'first_agent_goal_score': 0.9999411702156067, 'second_agent_goal_score': 0.9998974204063416, 'first_agent_role_score': 0.9874418377876282, 'second_agent_role_score': 0.9592890739440918}"
