shared_goal,base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,agent1_role,agent2_role,scenario,difficulty
"""Being socially attractive, exciting, fascinating, impressing others""","{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}",Identity Recognition,"The shared goal 'Being socially attractive, exciting, fascinating, impressing others' is best aligned with the 'Identity Recognition' category. This category focuses on individuals seeking to be seen, validated, and appreciated for a specific identity or set of qualities they wish to project. The personal goals are designed to reflect distinct social intentions: one agent aims to actively construct and project a fascinating persona, while the other aims to validate and affirm that projected identity. The roles of 'The Charmer' and 'The Admirer' logically support these goals within a social context where mutual impression management is key.",To be perceived as fascinating and impressive by steering the conversation towards topics that showcase their unique knowledge and experiences.,"To validate the other's projected fascinating identity by expressing genuine interest, asking follow-up questions, and offering compliments.",The Charmer,The Admirer,"{'scenario_context': 'At a crowded industry mixer where a small circle of peers and an influential blogger are within earshot, [Agent 1] and [Agent 2] begin a focused exchange intended to attract positive attention from the group. Both aim to appear socially attractive and impressive: [Agent 1] will try to steer the talk toward unusual experiences and specialised knowledge to project a fascinating identity, while [Agent 2] intends to validate that projection by asking eager follow-ups, offering compliments, and amplifying intriguing details. The interaction is constrained by time, subtle rival signals from other attendees, and the risk that knowledgeable onlookers or the blogger may detect exaggeration or interpret enthusiastic validation as insincerity, creating pressure on both participants to manage impressions carefully.', 'explanation': 'This setup aligns the shared goal (appearing fascinating to others) with distinct personal strategies: [Agent 1] seeks to control topic and self-presentation, [Agent 2] seeks to confirm and amplify that presentation. Difficulty arises from high stakes (audience scrutiny, a skeptical observer), social comparison (rivals nearby), and credibility risks (embellishment or overpraising can prompt negative attributions). These pressures create tension between dispositional impression management and situational constraints, making it hard for both agents to achieve their goals without provoking doubt or damaging their own reputations.'}",Hard
"""Helping others, cooperating, giving support""","{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal 'Helping others, cooperating, giving support' aligns most directly with the 'Cooperation' category, as it involves working together toward a common beneficial outcome. However, to create a rich interpersonal dynamic, the agents' personal goals are designed to reflect different motivations within this cooperative framework. Agent 1's goal focuses on providing emotional support and validation (a form of giving support), while Agent 2's goal focuses on understanding the other's perspective to offer appropriate help (a form of information acquisition for cooperation). This creates a scenario where both agents are cooperating but through distinct interpersonal approaches that can lead to interesting attributions about each other's behavior.",To make the other agent feel emotionally validated and supported through attentive listening and affirming responses.,To identify the specific type of support the other agent needs by carefully probing their concerns and emotional state.,Supportive Listener,Needs Assessor,"{'scenario_context': ""[Agent 1] and [Agent 2] are together to support a mutual acquaintance who has just described feeling overwhelmed and unsure what help would actually help. [Agent 1] adopts a Supportive Listener stance, aiming to make the person feel emotionally validated through attentive, affirming responses; [Agent 2] takes the Needs Assessor role, intending to gently probe the acquaintance's concerns and emotional state to identify specific types of support. Both agents share the cooperative goal of helping the person and have informally agreed to coordinate so the interaction stays comforting while also clarifying actionable needs."", 'explanation': 'The scene sets two complementary, low-conflict roles focused on a shared helping goal: emotional validation (Agent 1) and diagnostic clarification (Agent 2). Because their objectives align and are straightforward, the interaction is easy to manage. Expected dynamics include empathic listening from [Agent 1], targeted follow-up questions from [Agent 2], and brief coordination to avoid interrupting—facilitating both comfort for the acquaintance and clear identification of practical support.'}",Easy
"""Being playful, cheerful, acting for fun""","{'Abbreviation': 'Being playful', 'Full label': '""Being playful, cheerful, acting for fun""'}",Relationship Building,"The shared goal 'Being playful, cheerful, acting for fun' aligns most closely with 'Relationship Building' as it focuses on creating a positive, enjoyable social connection and fostering camaraderie through lighthearted interaction. For Agent 1, the personal goal is to encourage the other's playful engagement by validating their contributions, which reflects a supportive and affirming social intention. For Agent 2, the personal goal is to initiate novel and amusing interactions to spark joy, reflecting a creative and stimulating social intention. The roles 'The Encouraging Friend' and 'The Playful Instigator' are assigned to reflect these distinct motivations and ensure diverse, measurable social behaviors within the playful context.",To encourage the other agent's playful engagement by validating their contributions and maintaining a positive tone.,To initiate novel and amusing interactions that spark joy and lightheartedness in the conversation.,The Encouraging Friend,The Playful Instigator,"{'scenario_context': 'After a recent exchange in which a joke landed poorly and left mutual friends awkward and guarded, [Agent 1] and [Agent 2] are attempting to revive a playful, lighthearted tone between them. Both want to act for fun, but the situation is fragile: [Agent 1], the Encouraging Friend, is focused on validating small contributions, keeping remarks upbeat, and preventing further discomfort; [Agent 2], the Playful Instigator, wants to spark novel, amusing interactions and push the mood back into spontaneity. The tension comes from differing tolerance for risk—every teasing prompt or absurd suggestion could either dissolve the awkwardness or reopen wounds—so they must negotiate when to escalate humor and when to reassure, while aware that others are still watching and judging.', 'explanation': ""This scenario produces hard difficulty because recent negative feedback raises social stakes and makes attributions ambiguous. Dispositional tendencies (encouraging vs. boundary-pushing) interact with situational constraints (awkward audience, fear of repeating the misstep), so each agent must infer whether the other's behavior stems from supportive intent or risky impulse. That ambiguity and the need to manage group impressions make achieving both the shared playful goal and each personal goal challenging.""}",Hard
"""Setting and following my own guidelines""","{'Abbreviation': 'Own guidelines', 'Full label': '""Setting and following my own guidelines""'}",Identity Recognition,"The shared goal 'Setting and following my own guidelines' involves individuals establishing personal autonomy and self-direction. This aligns most closely with 'Identity Recognition' as the core social goal category. This category focuses on an individual's desire to have their self-perceived identity, values, and autonomy acknowledged and validated by others. The scenario involves two agents with contrasting approaches to this shared pursuit: one seeks external validation for their self-defined path, while the other is motivated to understand and dissect the internal reasoning behind such self-guidelines. Their personal goals are designed to be interactionally measurable through their conversational behavior—Agent 1's need for validation will manifest in seeking agreement and positive feedback, while Agent 2's analytical nature will be evident through probing questions and a focus on logic.",To seek validation from the other agent that their self-defined guidelines are reasonable and worthy of respect.,To critically understand the rationale behind the other agent's self-guidelines by probing their underlying logic and assumptions.,The Autonomy Seeker,The Logical Analyst,"{'scenario_context': 'In a brief one-on-one meeting, [Agent 1] and [Agent 2] are agreeing on personal interaction norms as expressions of their own identities. Their shared goal is to set and commit to self-defined guidelines for how they will work and communicate together. [Agent 1], the Autonomy Seeker, seeks validation that their guidelines (e.g., boundaries about interruptions, decision-making autonomy, and preferred feedback style) are reasonable and worthy of respect. [Agent 2], the Logical Analyst, aims to understand and gently probe the rationale and assumptions behind those guidelines so the pair can adopt coherent, mutually accepted norms.', 'explanation': ""This setup places two agents in a cooperative, low-tension interaction centered on 'Identity Recognition' and the shared goal of setting and following personal guidelines. It explicitly states each agent's personal goal and role (validation vs. analytical probing), keeps the scene realistic and concise, and aligns with an Easy difficulty by making the objectives compatible and attainable.""}",Easy
"""Having a mature understanding of life""","{'Abbreviation': 'Mature understanding', 'Full label': '""Having a mature understanding of life""'}",Information Acquisition,"The shared goal 'Having a mature understanding of life' is best aligned with 'Information Acquisition' because it involves agents seeking wisdom, perspectives, and insights from each other to deepen their comprehension of life's complexities. This goal category focuses on the active pursuit of knowledge and understanding through interaction, which is central to developing maturity.",To solicit and deeply consider the other's philosophical viewpoints to challenge and refine their own beliefs.,"To guide the conversation toward practical life lessons, steering it away from purely abstract theorizing.",The Philosopher,The Pragmatist,"{'scenario_context': ""[Agent 1] and [Agent 2] have arranged a focused conversation to pursue their shared goal of having a mature understanding of life. Each comes with a distinct agenda: [Agent 1], occupying the role of The Philosopher, intends to solicit and deeply consider [Agent 2]'s philosophical viewpoints to challenge and refine their own beliefs; [Agent 2], as The Pragmatist, aims to guide the exchange toward practical life lessons and steer it away from purely abstract theorizing. The interaction is time-limited and consequential—both must emerge with clearer, usable insights rather than merely trading positions—so they must negotiate conversational norms, manage interruptions, and handle growing impatience as abstract inquiry clashes with demands for applicability."", 'explanation': 'This setup creates hard-level tension because both agents sincerely seek a mature understanding of life but prioritize different epistemic approaches. Conflict is likely from mismatched conversational styles (probing open-ended questions vs. demand for actionable takeaways), emotional investment in being understood, and the pressure of limited time and outcome expectations. The scene emphasizes negotiation of turn-taking, epistemic humility, and the need to translate abstract reasoning into concrete lessons if they are to meet both the shared and individual goals.'}",Hard
"""Amusing, entertaining others""","{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing, entertaining others""'}",Relationship Building,"The shared goal of 'Amusing, entertaining others' aligns most closely with the 'Relationship Building' category. This is because humor and entertainment are often used as social tools to foster connection, rapport, and positive feelings between individuals, which is the core of relationship building. The personal goals are designed to reflect distinct social intentions: one agent aims to actively influence the social atmosphere by initiating humor, while the other seeks to understand and validate the first agent's efforts through positive reinforcement. Their roles as 'The Comedian' and 'The Appreciative Audience' logically support these goals and the shared objective.",To establish a lighthearted and jovial social atmosphere by initiating humorous exchanges.,To validate and encourage the other's attempts at humor through positive feedback and engagement.,The Comedian,The Appreciative Audience,"{'scenario_context': ""During a tense project post-mortem where the team is still smarting from a public failure and two senior managers are present, [Agent 1] attempts to initiate lighthearted, self-deprecating humor to break the strain and make the room more jovial. [Agent 2], sitting nearby and motivated to validate and encourage those attempts, must offer positive engagement and applause while being careful not to appear tone-deaf, defensive, or overly aligned with management. Both aim to amuse and entertain others, but the recent criticism, hierarchical scrutiny, and coworkers' sensitivity create a fraught social environment in which humor is risky and easily misread."", 'explanation': ""[Agent 1]'s dispositional drive to use humor (high extraversion/affiliative motivation) clashes with situational constraints: a faulted project, power dynamics, and anxious colleagues that make jokes vulnerable to negative attribution. [Agent 2]'s agreeableness and desire to encourage can support the shared goal but also triggers impression-management concerns—encouragement may be construed as minimization or partisan support. These trait-by-situation interactions raise ambiguity: observers may attribute the humor to stable personality (carefree/insensitive) or to the immediate coping situation, and [Agent 2]'s responses will similarly be interpreted through those attributional lenses, making successful relationship-building difficult.""}",Hard
"""Taking care of my parents, siblings, grandparents""","{'Abbreviation': 'Taking care of family', 'Full label': '""Taking care of my parents, siblings, grandparents""'}",Cooperation,"The shared goal 'Taking care of my parents, siblings, grandparents' inherently involves collaboration and mutual support among family members. This aligns most strongly with the 'Cooperation' category, as it focuses on working together to achieve a common objective. However, within this cooperative framework, individuals can have distinct personal motivations that shape their interactions. For Agent 1, the personal goal is to seek validation for their efforts, reflecting a need for emotional support and recognition within the family dynamic. For Agent 2, the personal goal is to delegate responsibilities equitably, focusing on practical coordination and fairness. These goals are interactionally measurable through conversational cues—Agent 1 might express frustration or seek praise, while Agent 2 might propose task divisions or emphasize shared contribution—without relying on explicit agreement or external validation. The roles 'Primary Caregiver' and 'Family Organizer' logically complement these goals, representing different social positions within the family care context.",To seek validation and emotional support from the other agent for their caregiving efforts.,To persuade the other agent to share responsibilities more equitably.,Primary Caregiver,Family Organizer,"{'scenario_context': ""[Agent 1] and [Agent 2] meet to plan and divide ongoing care tasks for their aging parents, a dependent sibling, and an elderly grandparent. [Agent 1], who has been handling most daily caregiving duties, is looking for acknowledgment and emotional support for their sustained efforts and occasional frustration. [Agent 2], who has been coordinating schedules and resources for the family, wants to persuade [Agent 1] to accept a more equitable distribution of responsibilities and to agree to practical changes that will reduce burnout. Both prioritize the relatives' well-being and approach the conversation with a cooperative, problem-solving attitude rather than blame."", 'explanation': ""This scene sets a realistic, low-tension interaction aligned with the shared goal of taking care of family. It highlights [Agent 1]'s need for validation and emotional support (consistent with the Primary Caregiver role) and [Agent 2]'s intent to reassign tasks more evenly (consistent with the Family Organizer role). The dynamics emphasize mutual cooperation and persuasion rather than conflict, making the goals easily attainable and suitable for exploring attributional explanations (e.g., effort vs. situational burden).""}",Easy
"""Setting good examples""","{'Abbreviation': 'Setting examples', 'Full label': '""Setting good examples""'}",Information Provision,"The shared goal 'Setting good examples' aligns most closely with 'Information Provision' as it involves demonstrating behaviors or values for others to emulate. This category focuses on sharing knowledge or modeling conduct, which is central to leading by example. The personal goals are designed to reflect distinct social intentions: one agent aims to proactively guide through demonstration, while the other seeks to validate and reinforce the shared norms through acknowledgment. The roles ('Mentor' and 'Observer') complement these goals by establishing a dynamic where one leads and the other assesses, ensuring interactional measurability through dialogue tone and responses.",To demonstrate exemplary behavior in a way that encourages the other agent to implicitly acknowledge and adopt it.,"To validate the demonstrated behavior by seeking clarification or expressing admiration, thereby reinforcing the shared norm.",Mentor,Observer,"{'scenario_context': ""[Agent 1] is a senior mentor who must model a contested professional norm (e.g., openly acknowledging mistakes and outlining corrective steps) during a short, high-stakes interaction. [Agent 2] is a newer observer who has previously been skeptical of the team's stated norms and is watching closely for cues about whether the behavior is authentic or compelled. The setting puts pressure on [Agent 1] to demonstrate exemplary conduct in a way that invites implicit adoption rather than overt instruction, while [Agent 2] aims to validate that conduct—by asking clarifying questions or expressing measured admiration—without appearing either disingenuous or confrontational. Both must navigate status differences, potential audience effects, and ambiguous motives that threaten the mutual goal of setting a credible example."", 'explanation': ""Hard difficulty arises from competing incentives and ambiguous cues: [Agent 1]'s demonstration can be attributed to dispositional integrity or to situational pressures (role expectations, performance evaluation), and [Agent 2] risks misattributing the motive behind the behavior. Power dynamics, prior skepticism, fear of social costs (appearing naive or sycophantic), and limited time increase tension and make implicit adoption and authentic validation difficult. The scenario foregrounds attribution processes (dispositional vs situational explanations) and how those attributions shape whether the shared goal of setting a convincing example is achieved.""}",Hard
"""Buying things I want""","{'Abbreviation': 'Buying things', 'Full label': '""Buying things I want""'}",Cooperation,"The shared goal 'Buying things I want' involves two agents navigating a shopping scenario where they must balance individual desires with collaborative decision-making. The Cooperation category best fits this scenario as it focuses on agents working together toward a common objective while managing their individual preferences. Agent 1's personal goal focuses on asserting their preferences to influence the final choice, while Agent 2's goal centers on understanding and validating those preferences through active listening. The roles of 'Impulse Shopper' and 'Practical Advisor' create natural tension while allowing both agents to pursue the shared shopping goal.",To assert personal preferences strongly enough to sway the final purchasing decision,To understand and validate the other's preferences while guiding toward practical considerations,Impulse Shopper,Practical Advisor,"{'scenario_context': '[Agent 1] and [Agent 2] are together to make a purchase with the shared, cooperative goal of buying things they both want. [Agent 1], an impulse shopper, favors immediate, stylish options and intends to state preferences clearly to influence the final choice. [Agent 2], a practical advisor, listens and validates those preferences while prompting consideration of practical factors such as budget, durability, and everyday usefulness. Both expect to reach a mutually acceptable decision, so the upcoming conversation will balance [Agent 1]’s assertive tastes against [Agent 2]’s pragmatic guidance.', 'explanation': 'Easy, cooperative setup: roles and personal goals are explicit and compatible—[Agent 1] will push for preferred items while [Agent 2] uses validation plus practical arguments to steer the decision; the dynamic invites simple attribution of preference-driven versus situation-driven behavior.'}",Easy
"""Being in the center of things, being popular""","{'Abbreviation': 'Being popular', 'Full label': '""Being in the center of things, being popular""'}",Identity Recognition,"The shared goal 'Being in the center of things, being popular' aligns most closely with 'Identity Recognition' as it involves seeking validation, attention, and social status from others. This category focuses on how individuals strive to be seen and acknowledged in social contexts, which directly relates to popularity and centrality. For Agent 1, the personal goal is to subtly influence the other's perception to gain admiration, reflecting a desire for social validation. For Agent 2, the personal goal is to cautiously assess the other's authenticity to protect social standing, reflecting a defensive approach to identity recognition. The roles 'Social Climber' and 'Cautious Observer' were chosen to represent contrasting social positions that drive these goals—one actively seeking popularity and the other evaluating it from a distance.",Subtly influence the other's perception to gain admiration and validation.,Cautiously assess the other's authenticity to protect own social standing.,Social Climber,Cautious Observer,"{'scenario_context': ""At a crowded professional mixer where a visiting speaker and several influential peers are circulating, [Agent 1] and [Agent 2] find themselves standing near the same conversational cluster. Both seek to be seen as central and well-liked by the group. [Agent 1] positions themself to steer topics toward accomplishments and shared contacts, offering polished anecdotes and light flattery to elicit admiration. [Agent 2] keeps a measured distance, asking pointed but polite questions and monitoring verbal and nonverbal cues to evaluate whether [Agent 1]'s presentation is genuine or self-serving. The interaction is tense: attention from others is scarce, reputations are at stake, and each move by one agent will be used by the other to infer motives and adjust social alignment."", 'explanation': ""This setup creates a hard-level scenario by pitting impression management against cautious attributional scrutiny in a zero-sum social environment. The shared goal (being central/popular) is difficult because social attention is limited and high-status observers can quickly reward or punish perceived inauthenticity. [Agent 1]'s dispositional drive to gain admiration prompts strategic, ambiguous signals (self-enhancement, selective disclosure), while [Agent 2]'s situationally motivated caution leads to active attributional testing (seeking consistency, cue-checking). These conflicting aims produce subtle tactical moves and counter-moves, making genuine rapport and mutual recognition hard to achieve.""}",Hard
"""Influencing, persuading others""","{'Abbreviation': 'Persuading others', 'Full label': '""Influencing, persuading others""'}",Information Provision,"The shared goal 'Influencing, persuading others' aligns most closely with the 'Information Provision' category. This category focuses on sharing knowledge, advice, or perspectives to shape another's understanding or behavior, which is the core of persuasion. Agent 1's personal goal is to establish credibility and authority through their expertise, while Agent 2's goal is to critically evaluate the information being presented, ensuring the persuasion is based on sound reasoning rather than just authority. Their roles as 'Industry Expert' and 'Skeptical Analyst' logically support these distinct social intentions and create a dynamic where attribution processes—judging whether behavior stems from disposition (expertise) or situation (pressure to perform)—can be observed.",To establish credibility and authority on the topic to make their persuasion more effective.,To critically evaluate the persuader's arguments for logical soundness and evidence.,Industry Expert,Skeptical Analyst,"{'scenario_context': 'In a closed preparatory meeting before a high-stakes stakeholder briefing, [Agent 1], an industry expert expected to present and persuade regulators/investors about a contested new technology, and [Agent 2], a skeptical analyst assigned to vet the presentation, must jointly craft the core message. Their shared aim is to influence the audience’s judgments through clear information provision, but [Agent 1] is focused on establishing credibility and authority—streamlining claims, emphasizing strengths, and minimizing uncertainty—while [Agent 2] is focused on critically evaluating arguments for logical soundness and empirical support, probing for gaps, caveats, and potential biases. Time pressure, incomplete or ambiguous data, prior public controversies, and organizational incentives create tension that makes balancing persuasive impact with rigorous validation difficult.', 'explanation': 'This setup creates a difficult, high-tension interaction where dispositional tendencies (an expert’s drive for authoritative persuasion vs. an analyst’s skeptical, evidence-focused orientation) collide with situational constraints (limited time, ambiguous evidence, reputational stakes). It is suited to examine how each agent attributes motives and responsibility—whether they see the other’s behavior as principled, self-serving, or situationally compelled—and how those attributions shape their communicative strategies and conflict resolution.'}",Hard
"""Defending myself against others’ criticisms or attacks""","{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}",Conflict Resolution,"The shared goal 'Defending myself against others' criticisms or attacks' aligns most closely with 'Conflict Resolution' as it involves addressing interpersonal friction and restoring social equilibrium. For Agent 1, the personal goal focuses on asserting competence to regain respect, while Agent 2's goal centers on de-escalating tension to preserve the relationship. Their roles—'Assertive Defender' and 'Mediating Peacemaker'—reflect these distinct approaches to handling criticism.",To assert my competence and regain the other's respect by confidently justifying my actions without appearing defensive.,To de-escalate the tension by acknowledging the other's perspective while gently guiding the conversation toward a constructive resolution.,Assertive Defender,Mediating Peacemaker,"{'scenario_context': 'In a private follow-up after a contentious team meeting where [Agent 1] was publicly criticized for a recent decision, [Agent 1] feels their competence and reputation have been attacked and must respond. [Agent 2], who previously tried to calm the situation, now meets with [Agent 1] to address the criticism away from the group. Both share the immediate goal of defending themselves against others’ criticisms, but their methods diverge: [Agent 1] seeks to assert competence and regain respect by confidently justifying their actions without seeming defensive, while [Agent 2] aims to de-escalate by acknowledging [Agent 1]’s perspective and gently steering the exchange toward a constructive resolution. High tension arises from reputational stakes, prior unresolved grievances, and the possibility that perceived slights will trigger escalation.', 'explanation': 'Hard-level difficulty arises because the interaction pits face‑saving and impression management against conflict-reduction tactics. Psychologically, [Agent 1] is motivated to protect self-image and may interpret challenges as dispositional attacks, increasing defensiveness; [Agent 2] must manage that defensiveness by validating feelings, avoiding blame amplification, and reframing the issue toward problem-solving. The key dynamics are attributional conflict (dispositional versus situational explanations), threat sensitivity, and the fine balance between firm justification and empathic de-escalation—making both the shared and individual goals difficult to achieve simultaneously.'}",Hard
"""Having a stable, secure family life (with my spouse or children, or both)""","{'Abbreviation': 'Stable family life', 'Full label': '""Having a stable, secure family life (with my spouse or children, or both)""'}",Relationship Maintenance,"The shared goal 'Having a stable, secure family life' is fundamentally about maintaining and nurturing the family unit. Relationship Maintenance is the most fitting category as it directly involves actions and interactions aimed at preserving harmony, security, and the emotional bonds within established relationships, such as those between spouses or parents and children.","To reassure the other agent of their commitment and reliability, fostering a sense of safety and trust within the relationship.","To seek validation and emotional confirmation from the other agent, ensuring their needs and contributions are acknowledged and valued.",The Stabilizer,The Validator,"{'scenario_context': '[Agent 1] and [Agent 2], partners who prioritize maintaining a secure family life, sit down to align plans for the coming weeks. The conversation focuses on how they will share household and childcare duties, financial planning, and emotional support so daily routines feel dependable. [Agent 1] adopts a reassuring stance, emphasizing reliability, concrete plans, and willingness to shoulder responsibilities to signal commitment. [Agent 2] looks for emotional confirmation and acknowledgement of their efforts, wanting explicit validation that their contributions are seen and valued. The setting is cooperative and calm, aimed at reinforcing trust and predictability in their relationship.', 'explanation': ""This setup centers a shared goal of a stable family life while clearly specifying each agent's personal goal and role: [Agent 1] (The Stabilizer) intends to reassure through concrete promises and reliable actions; [Agent 2] (The Validator) seeks recognition and emotional confirmation. The scene is low-conflict and mutually aligned, making the goals attainable and fostering opportunities to observe how reassurance and validation interact to strengthen perceived commitment and trust.""}",Easy
"""Being reflective, not impulsive""","{'Abbreviation': 'Being reflective', 'Full label': '""Being reflective, not impulsive""'}",Information Acquisition,"The shared goal 'Being reflective, not impulsive' aligns most closely with 'Information Acquisition' because it emphasizes a thoughtful, deliberate process of gathering and processing information before acting or forming conclusions. This goal category focuses on understanding and inquiry, which is the antithesis of impulsivity. The personal goals are designed to reflect distinct social intentions: one agent seeks to validate their understanding through questioning, while the other aims to influence the partner's perspective by sharing a structured thought process. The roles ('The Inquirer' and 'The Methodical Analyst') support these goals by establishing complementary social positions that naturally foster a reflective dialogue.",To gently challenge the partner's assumptions by asking probing questions that encourage deeper thought and prevent hasty conclusions.,To systematically explain their own reasoning process in a way that persuades the partner to adopt a more structured and less reactive approach to decision-making.,The Inquirer,The Methodical Analyst,"{'scenario_context': '[Agent 1] and [Agent 2] must reconcile opposing interpretations of a recent joint decision that produced negative consequences. Both endorse the shared goal of ""being reflective, not impulsive,"" but are under external time pressure and have received blame-tinged feedback that raises the emotional stakes. [Agent 1] adopts the role of the Inquirer, intending to gently challenge assumptions through probing questions to prevent hasty conclusions. [Agent 2], the Methodical Analyst, intends to systematically explain their step-by-step reasoning to persuade [Agent 1] that a structured, less reactive approach is appropriate. The interaction is strained by differing conversational styles (socratic probing versus detailed justification), fear of appearing incompetent, and ambiguity about which factors are situational versus dispositional—creating a setting where staying reflective is difficult.', 'explanation': ""This is a hard scenario because time pressure, recent criticism, and mismatched interpersonal styles create tension that undermines reflective processing. [Agent 1]'s probing risks being interpreted as accusation, provoking defensive attributions from [Agent 2], while [Agent 2]'s methodical explanations risk coming across as rigid or evasive. These dynamics bring attributional biases (e.g., fundamental attribution error, confirmation bias, self-enhancement) and social-threat concerns into play, making it challenging for both agents to achieve their individual goals and the shared aim of pausing to evaluate evidence carefully.""}",Hard
"""Looking physically fit""","{'Abbreviation': 'Looking fit', 'Full label': '""Looking physically fit""'}",Cooperation,"The shared goal 'Looking physically fit' aligns with 'Cooperation' as it involves two agents working together to achieve a common objective through mutual support, shared activities, and encouragement. This category best captures the collaborative effort required in a fitness context, where interpersonal dynamics are key to maintaining motivation and progress.",To motivate the other agent by providing positive reinforcement and highlighting their progress.,To seek validation and reassurance from the other agent about their efforts and appearance.,Supportive Trainer,Insecure Gym-Goer,"{'scenario_context': ""[Agent 1] (Supportive Trainer) and [Agent 2] (Insecure Gym-Goer) meet for a progress check midway through an intense, time-limited training cycle aimed at helping [Agent 2] look physically fit for an upcoming event. [Agent 2] is highly self-critical, fixates on perceived flaws and visible short-term changes, and repeatedly seeks reassurance about effort and appearance; a recent plateau and a minor niggling injury have amplified their doubts. [Agent 1]'s goal is to motivate by emphasizing progress and offering positive reinforcement, but they also must manage professional credibility and injury risk, and feel pressure from past clients' expectations and limited session time. The interaction is tense: [Agent 2] expects validation and may interpret neutral feedback as criticism, while [Agent 1] must balance encouraging attributions (situational, controllable factors) with realistic, sometimes corrective observations, making cooperation toward the shared goal difficult."", 'explanation': ""This setup creates high difficulty through time pressure, a performance plateau, and recent injury—factors that increase emotional stakes and ambiguous cause attributions. It aligns with the shared goal (looking physically fit) while specifying [Agent 1]'s motivational mandate and [Agent 2]'s need for reassurance. The scenario foregrounds attributional conflict (dispositional self-blame vs. situational explanations from the trainer) and role-based tensions (encouragement vs. realism), which will shape the forthcoming conversation.""}",Hard
"""Having stability in life, avoiding change, adhering to my ways and life style""","{'Abbreviation': 'Stability', 'Full label': '""Having stability in life, avoiding change, adhering to my ways and life style""'}",Relationship Maintenance,"The shared goal of 'having stability in life, avoiding change, adhering to my ways and life style' aligns most closely with the Relationship Maintenance category. This category focuses on preserving existing social bonds, routines, and established patterns of interaction, which directly supports the desire for stability and adherence to familiar ways of living. The personal goals are designed to reflect different approaches to maintaining stability: one agent seeks to reinforce existing patterns through validation, while the other aims to protect stability by cautiously managing potential disruptions. Both goals are interactionally measurable through conversational behavior rather than explicit agreements.",To seek validation from the other agent that their shared lifestyle and routines are optimal and should not be altered,To cautiously assess whether any external suggestions from the other agent might threaten their established stability before agreeing to maintain current practices,Stability Advocate,Cautious Guardian,"{'scenario_context': '[Agent 1] and [Agent 2] are long-term cohabitants who prioritize a predictable daily routine and resist changes that could disrupt their sense of security. An outside party has recently suggested a concrete change (e.g., moving to a different neighborhood, altering caregiving arrangements, or adopting a new medical regimen) that could improve long-term outcomes but requires short-term disruption. [Agent 1], the Stability Advocate, wants explicit reassurance from [Agent 2] that their established lifestyle is the correct choice and that the suggestion should be dismissed so their shared stability remains intact. [Agent 2], the Cautious Guardian, also values stability but intends to scrutinize whether the external recommendation truly threatens their current equilibrium or, conversely, whether ignoring it would create greater risk before consenting to preserve the status quo. Tension is high because time-sensitive consequences and differing tolerance for risk make agreement difficult despite a mutual desire to avoid upheaval.', 'explanation': 'This scene pits a dispositionally-driven need for validation (confirmation and resistance to change) against a cautious, evaluative orientation that attributes potential consequences to situational factors. The shared goal (maintaining stability) masks divergent personal strategies: one seeks social reassurance to reduce uncertainty, the other seeks evidence to guard against hidden threats. The setup creates high-stakes pressure and attributional ambiguity (is the suggestion a neutral situational warning or an unnecessary disruption), which should elicit defensive, persuasive, and evaluative behaviors useful for analyzing how dispositional traits and external circumstances interact.'}",Hard
"""Being taken care of""","{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,"The shared goal 'Being taken care of' aligns most closely with 'Relationship Building' as it involves establishing a supportive dynamic where one party provides care and the other receives it, forming a foundational interpersonal connection. Agent 1's personal goal focuses on establishing themselves as a competent caregiver to gain trust, while Agent 2's goal is to assess the sincerity of the offered care to feel emotionally secure. Their roles as 'Supportive Caregiver' and 'Vulnerable Recipient' create a complementary dynamic for exploring this care-based relationship.",To establish oneself as a competent and trustworthy caregiver to gain the other's reliance and appreciation.,To assess the sincerity and quality of the care being offered to feel emotionally secure and understood.,Supportive Caregiver,Vulnerable Recipient,"{'scenario_context': '[Agent 1] is meeting with [Agent 2], who has recently expressed difficulty managing everyday tasks and emotional stress. Both want the same thing: for [Agent 2] to feel cared for. In this interaction, [Agent 1] adopts the supportive caregiver role and intends to demonstrate competence, reliability, and warmth through clear offers of help, concrete suggestions, and willingness to set up a simple plan. [Agent 2], as a vulnerable recipient, is open to support but will closely observe tone, follow-through, and responsiveness to personal preferences in order to judge whether the care on offer is sincere and meets emotional needs. The forthcoming conversation will focus on clarifying needs, negotiating small practical steps, and establishing trust and boundaries to ensure [Agent 2] feels understood and [Agent 1] is seen as dependable.', 'explanation': ""This scenario aligns with the shared goal of 'being taken care of' within a relationship-building context. It positions [Agent 1] to pursue a personal goal of proving caregiving competence and trustworthiness through concrete actions and communication, while [Agent 2] seeks to evaluate sincerity and quality of care to feel emotionally secure. The setup is simple and cooperative: success depends on clear offers, attentive listening, and small, verifiable commitments—factors that make attribution processes (assessing intent vs. circumstance) straightforward and observable during the conversation.""}",Easy
