base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Seeking justice', 'Full label': '""Seeking justice""'}",Conflict Resolution,"The shared goal 'Seeking justice' can be explored through various social goal categories. Here, 'Conflict Resolution' is chosen as it directly aligns with the pursuit of justice by addressing and resolving disputes or injustices. The agents' personal goals reflect their unique perspectives within this context: one focuses on uncovering truth, while the other aims to ensure fairness. Their roles as Investigator and Advocate further shape their interaction dynamics.",To uncover the truth behind the injustice,To ensure fair treatment for all parties involved,"""Seeking justice""",Investigator,Advocate
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g. , earth , environment , anticrime , antidrugs)""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because committing to a cause often involves forming alliances and fostering connections between individuals who share similar values. This aligns well with the shared goal of being committed to a cause, such as environmental activism. The agents' personal goals reflect their distinct motivations within this context, one aiming to recruit new members by highlighting benefits (a proactive approach), and the other seeking to understand moral motivations (a reflective approach). Their roles—'Community Organizer' and 'Ethical Advocate'—shape how they interact, with one focused on practical engagement and the other on philosophical alignment.",Persuade the other agent to join their environmental group by emphasizing personal fulfillment and collective impact.,Learn how the other agent justifies their commitment to the cause to evaluate alignment with their own moral values.,"""Being committed to a cause (e.g. , earth , environment , anticrime , antidrugs)""",Community Organizer,Ethical Advocate
"{'Abbreviation': 'Having friends', 'Full label': '""Having friends I love , close companionship""'}",Relationship Building,"We chose Relationship Building as the social goal category because the shared goal 'Having friends I love, close companionship' aligns closely with forming deep connections. The personal goals reflect each agent's perspective: one seeks emotional closeness (active engagement), while the other focuses on reliability (passive stability). Their roles—Social Connector and Trusted Confidant—complement each other to foster companionship.",To establish emotional closeness by sharing personal experiences and actively listening.,To demonstrate reliability and consistency in being present for the other agent.,"""Having friends I love , close companionship""",Social Connector,Trusted Confidant
"{'Abbreviation': 'Peace of mind', 'Full label': '""Having peace of mind""'}",Conflict Resolution,"The shared goal 'Having peace of mind' aligns well with the 'Conflict Resolution' social goal category, as resolving conflicts often leads to a sense of peace and harmony. To explore this, we will define personal goals for two agents that reflect their individual motivations while contributing to the shared goal. The first agent's goal will focus on addressing unresolved tensions, while the second agent's goal will emphasize restoring harmony. Their social roles will shape how they interact—one as a mediator and the other as a reconciler.",Address unresolved tensions affecting peace of mind,Restore harmony and mutual understanding,"""Having peace of mind""",Mediator,Reconciler
"{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}",Conflict Resolution,"To explore attribution theory in social psychology, we selected 'Conflict Resolution' as the social goal category because 'Defending myself against others’ criticisms or attacks' inherently involves interpersonal tension that requires resolution. The personal goals are designed to reflect differing motivations while aligning with the shared goal, and the roles are chosen to create contrasting but complementary interaction dynamics.",To assert my competence and justify my actions convincingly while minimizing hostility.,To express concerns constructively and seek mutual understanding without escalating conflict.,"""Defending myself against others’ criticisms or attacks""",Defender (focused on self-justification),Mediator/Concerned Observer (focused on de-escalation)
"{'Abbreviation': 'Career knowledge', 'Full label': '""Keeping up to date with career-related knowledge""'}",Information Acquisition,"We selected 'Information Acquisition' as the social goal category because it aligns well with the shared goal of 'Keeping up to date with career-related knowledge'. This category focuses on the pursuit of knowledge and skills, which is central to staying current in a career. The personal goals for each agent reflect their individual motivations for seeking information, while their roles influence how they interact with each other.",To learn about emerging trends in their industry to gain a competitive edge,To acquire practical skills that can be immediately applied to their current job,"""Keeping up to date with career-related knowledge""",Industry Enthusiast,Practical Learner
"{'Abbreviation': 'Bills', 'Full label': '""Being able to meet my financial needs , not worry about bills , expenses , etc.""'}",Cooperation,"Since financial stability (the shared goal) often requires planning and collaboration, the 'Cooperation' category is chosen. Agent 1's personal goal reflects proactive financial planning, while Agent 2's emphasizes securing assistance, illustrating different approaches to achieving stability. Their roles—Financial Planner and Assistance Seeker—define their interaction styles while maintaining a cooperative framework.",To create a detailed financial plan that ensures long-term stability and minimal stress about expenses.,"To seek advice and practical support for immediate financial challenges, reducing reliance on ad-hoc solutions.","""Being able to meet my financial needs , not worry about bills , expenses , etc.""",Financial Planner,Assistance Seeker
"{'Abbreviation': 'Sexual experiences', 'Full label': '""Enjoying sexual experiences""'}",Relationship Building,"The chosen social goal category is 'Relationship Building,' as it aligns well with the shared goal of 'Enjoying sexual experiences.' This category emphasizes fostering intimacy and connection, which are key components of shared sexual experiences. Each agent's personal goal reflects their unique perspective and motivation towards building this relationship.",Create a safe and trusting environment to explore mutual desires.,Express personal boundaries while encouraging open communication about shared pleasures.,"""Enjoying sexual experiences""",Facilitator,Navigator
"{'Abbreviation': 'Being recognized', 'Full label': '""Being admired , recognized by others""'}",Identity Recognition,"To investigate how dispositional traits and situational factors shape social behavior in pursuit of admiration and recognition, we selected 'Identity Recognition' as the social goal category. This aligns with the shared goal of 'Being admired, recognized by others,' as it focuses on how individuals seek validation and acknowledgment of their identity by others.",To assert their expertise and accomplishments in order to gain admiration from the other agent.,To highlight their unique personal qualities and experiences to be recognized as special by the other agent.,"""Being admired , recognized by others""",The Achiever,The Charismatic
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents , siblings , grandparents""'}",Relationship Building,"To investigate attribution theory in the context of family relationships, we chose 'Relationship Building' as the social goal category. This aligns with the shared goal of feeling close to family members, as it involves fostering connections and understanding. The first agent is assigned the role of a 'Young Adult Seeking Approval' with a personal goal to gain validation from parents, while the second agent is a 'Supportive Sibling' aiming to strengthen bonds by offering emotional support. Both goals can be evaluated based on their interactions.",Gain validation from parents by sharing personal achievements,Strengthen sibling bonds by offering active listening and emotional support,"""Feeling close to my parents , siblings , grandparents""",Young Adult Seeking Approval,Supportive Sibling
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,The social goal category 'Relationship Building' is chosen for the shared goal 'Accepting life’s limitations' because fostering understanding and emotional support between individuals is essential when navigating personal limitations. This context provides a rich ground for studying how agents with different personal goals and roles interact to achieve both individual and shared objectives.,To seek reassurance and validation from the other agent concerning their perceived limitations.,"To provide perspective and encouragement, helping the other agent see their limitations as opportunities for growth.","""Accepting life’s limitations""",Seeker of Emotional Support,Encouraging Mentor
"{'Abbreviation': 'Attracting sexually', 'Full label': '""Being able to attract , please , sexually excite a sexual partner""'}",Relationship Building,"The chosen social goal category 'Relationship Building' aligns well with the shared goal of attracting and pleasing a sexual partner, as it involves creating a meaningful connection that can enhance mutual attraction and satisfaction. Each agent's personal goal reflects their unique perspective on how to achieve this attraction, whether through emotional connection or physical appeal, which can be evaluated based on their interaction.",Establish an emotional connection to enhance mutual attraction and sexual chemistry.,Showcase physical attractiveness and confidence to excite and please the partner.,"""Being able to attract , please , sexually excite a sexual partner""",Emotional Connector,Physical Charmer
"{'Abbreviation': 'Flexibility', 'Full label': '""Having flexibility of viewpoint , being broad-minded , open""'}",Information Acquisition,"The shared goal of 'having flexibility of viewpoint, being broad-minded, open' aligns well with the social goal category of 'Information Acquisition', as it emphasizes openness and receptivity to new ideas and perspectives.",To actively listen and understand diverse viewpoints without immediate judgment.,To articulate their own perspective clearly while remaining open to alternative viewpoints.,"""Having flexibility of viewpoint , being broad-minded , open""",Active Listener,Perspective Sharer
"{'Abbreviation': 'Being able to fantasize', 'Full label': '""Being able to fantasize , imagine""'}",Relationship Building,"The shared goal 'Being able to fantasize, imagine' aligns well with the 'Relationship Building' social goal category, as it involves creating a shared imaginative space that can foster deeper interpersonal connections. The personal goals are designed to reflect distinct motivations while contributing to the shared imaginative experience. The roles assigned—'Creative Visionary' and 'Supportive Collaborator'—complement each other in driving the interaction toward a rich, collaborative fantasy.",To create an elaborate and engaging fantasy narrative that captivates the other agent.,To actively participate in and expand upon the fantasy narrative proposed by the first agent.,"""Being able to fantasize , imagine""",Creative Visionary,Supportive Collaborator
"{'Abbreviation': 'Being reflective', 'Full label': '""Being reflective , not impulsive""'}",Conflict Resolution,"The shared goal 'Being reflective, not impulsive' suggests that the agents should engage in thoughtful and deliberate behavior rather than acting hastily. Given this, the 'Conflict Resolution' category fits well, as resolving conflicts often requires reflection and careful consideration of different perspectives.",To understand the underlying causes of the conflict from the other agent's perspective without jumping to conclusions.,"To express their viewpoint clearly and calmly, ensuring they are understood while avoiding impulsive reactions.","""Being reflective , not impulsive""",Mediator,Concerned Party
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups , feeling like part of a group""'}",Relationship Building,"The chosen social goal category 'Relationship Building' aligns well with the shared goal of 'Belonging to social groups, feeling like part of a group' as it focuses on forming connections that foster a sense of inclusion. Each agent's personal goal reflects their unique motivation within this context, with one aiming to establish their social identity within the group and the other seeking to expand their social circle. These goals can be evaluated based on the depth of interaction and mutual recognition during their conversation.",To establish themselves as a valued member of the group by demonstrating relevant skills and knowledge.,To connect with new group members and strengthen social ties to enhance their sense of belonging.,"""Belonging to social groups , feeling like part of a group""",Newcomer seeking acceptance,Established member fostering inclusion
"{'Abbreviation': 'Being innovative', 'Full label': '""Changing my ways , being innovative in the way I live my life""'}",Relationship Building,"The shared goal 'Changing my ways, being innovative in the way I live my life' involves personal transformation and innovation, which can be supported by interpersonal dynamics. The social goal category 'Relationship Building' is chosen because fostering new or deeper relationships can provide the encouragement, accountability, and fresh perspectives needed for such change. Each agent is assigned a distinct personal goal reflecting their perspective: Agent 1 seeks validation for their innovative ideas, while Agent 2 aims to inspire change through their experience. Their roles—'Innovative Thinker' and 'Experienced Mentor'—reflect their contributions to the shared goal.",To gain validation and support for their innovative ideas from the other agent.,To inspire and guide the other agent toward meaningful change based on their own experiences.,"""Changing my ways , being innovative in the way I live my life""",Innovative Thinker,Experienced Mentor
"{'Abbreviation': 'Being creative', 'Full label': '""Being creative (e.g. , artistically , scientifically , intellectually)""'}",Competition,The chosen social goal category 'Competition' aligns well with the shared goal of 'Being creative' as it allows us to explore how agents with contrasting personal goals interact creatively in a competitive context. This setup can reveal how dispositional traits and situational competition influence creative collaboration.,To create the most innovative artwork that stands out and receives acclaim.,To produce a technically superior piece of work that showcases mastery and precision.,"""Being creative (e.g. , artistically , scientifically , intellectually)""",Avant-garde Artist,Technical Illustrator
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability , agility""'}",Cooperation,"The chosen social goal category is 'Cooperation' because achieving physical ability and agility often requires teamwork and mutual support. The agents' personal goals reflect their individual motivations within this cooperative framework, while their roles shape how they interact to achieve both their personal and shared goals.",To improve personal endurance through shared training sessions,To refine agility techniques by teaching and learning from a partner,"""Having physical ability , agility""",Motivated Trainee,Supportive Mentor
"{'Abbreviation': 'Being in love', 'Full label': '""Being in love""'}",Relationship Maintenance,"For the shared goal 'Being in love', the most relevant social goal category is 'Relationship Maintenance', as it involves nurturing and sustaining romantic connections. Each agent will have distinct personal goals that reflect their perspective while aligning with the broader theme of love and commitment.",Feel emotionally secure by receiving consistent reassurance from their partner.,Demonstrate love and commitment through acts of kindness and verbal affirmations.,"""Being in love""",Seeker of Emotional Security,Expressive Caregiver
"{'Abbreviation': 'Avoiding rejection', 'Full label': '""Avoiding rejection by others""'}",Relationship Maintenance,"To explore how dispositional traits and situational factors interact in shaping social behavior under the shared goal of avoiding rejection by others, we selected the social goal category of 'Relationship Maintenance'. This category aligns closely with the shared goal, as maintaining relationships inherently involves actions aimed at preventing rejection. Each agent's personal goal reflects their unique perspective within this context, allowing for evaluation based on their conversational success.",Ensure continued approval and validation from the other agent by maintaining harmony and avoiding disagreement.,Prevent the deterioration of social bonds by managing impressions and demonstrating likability.,"""Avoiding rejection by others""",People-Pleaser,Impression Manager
"{'Abbreviation': 'Taking care of family', 'Full label': '""Taking care of my parents , siblings , grandparents""'}",Cooperation,"We selected 'Cooperation' as the social goal category because the shared goal of 'Taking care of parents, siblings, grandparents' inherently requires collaborative effort and mutual support among family members. Each agent will have distinct personal goals that align with their roles and motivations while contributing to the shared goal.",To ensure that all family members receive equitable attention and care by organizing a fair division of responsibilities.,"To advocate for the specific needs of grandparents, ensuring they receive specialized care and emotional support.","""Taking care of my parents , siblings , grandparents""",Family Care Coordinator,Grandparent Advocate
"{'Abbreviation': 'Standing up for beliefs', 'Full label': '""Standing up for my beliefs""'}",Identity Recognition,"The chosen social goal category is 'Identity Recognition' because standing up for one's beliefs is closely tied to asserting and validating personal identity. Each agent will have distinct personal goals that reflect their unique perspectives on how to uphold their beliefs, while their social roles will shape their interaction styles.",To confidently articulate their beliefs in a way that garners respect and validation from others.,"To challenge societal norms through their beliefs, aiming to provoke thought and inspire change.","""Standing up for my beliefs""",The Assertor,The Provocateur
"{'Abbreviation': 'Wisdom', 'Full label': '""Having wisdom""'}",Information Acquisition,"The shared goal 'Having wisdom' aligns well with the social goal category 'Information Acquisition,' as wisdom often involves seeking and integrating knowledge from various sources. We will simulate two agents with distinct personal goals that reflect their unique motivations within this context. The first agent seeks wisdom through direct learning from others, while the second agent aims to validate their own understanding by teaching others. Their roles—'Seeker' and 'Mentor'—reflect these complementary approaches to acquiring wisdom.",To learn new perspectives and insights from others to enhance personal wisdom.,To solidify personal wisdom by explaining and teaching concepts to someone else.,"""Having wisdom""",Seeker,Mentor
"{'Abbreviation': 'Being spontaneous', 'Full label': '""Being spontaneous""'}",Relationship Building,"The chosen social goal category 'Relationship Building' aligns well with the shared goal 'Being spontaneous' as spontaneity often fosters new connections and strengthens bonds. The first agent's personal goal focuses on bonding through spontaneous adventures, while the second agent aims to challenge their own rigidity by embracing spontaneity. Their roles reflect their motivations: one seeks excitement and connection, while the other works on personal growth.",Bond with the other agent by proposing and engaging in spontaneous activities.,Challenge personal tendencies of over-planning by actively participating in unplanned actions.,"""Being spontaneous""",Adventure Seeker,Rigid Planner Seeking Growth
"{'Abbreviation': 'Looking fit', 'Full label': '""Looking physically fit""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because achieving physical fitness often involves partnerships (e.g., workout buddies, diet accountability partners), where interpersonal dynamics play a key role in motivation and success. The agents' personal goals reflect differing perspectives on how to approach fitness while maintaining interpersonal harmony.",Convince the other agent to adopt a rigorous gym-based workout routine to achieve fitness goals efficiently.,"Promote a balanced approach combining moderate exercise with dietary changes, prioritizing sustainability over intensity.","""Looking physically fit""",Fitness Enthusiast (focused on discipline and measurable progress),Holistic Health Advocate (emphasizing long-term well-being and lifestyle integration)
"{'Abbreviation': 'Being ambitious', 'Full label': '""Being ambitious , hard-working""'}",Competition,"To investigate how dispositional traits and situational factors interact in shaping social behavior around a shared goal of 'being ambitious and hard-working,' we chose the social goal category 'Competition.' This category allows us to explore how agents with distinct personal goals and roles might balance cooperation (shared goal) with competition (social goal).","To outperform the other agent in achieving measurable professional milestones (e.g., promotions, accolades) to demonstrate superior ambition and work ethic.","To subtly undermine the other agent's achievements while maintaining appearances of collaboration, ensuring their own contributions are more visible.","""Being ambitious , hard-working""","Overachiever (openly competitive, seeks validation through explicit success metrics)","Calculative Collaborator (strategically competitive, prioritizes perception management)"
"{'Abbreviation': 'Educational degree', 'Full label': '""Obtaining an advanced educational degree""'}",Cooperation,"The chosen social goal category is 'Cooperation' because obtaining an advanced educational degree often requires collaborative efforts, mutual support, and shared resources among peers. This context allows for the exploration of how dispositional traits and situational factors influence cooperative behaviors.",To establish a reliable study partnership that enhances understanding of course material and improves academic performance.,"To gain access to diverse perspectives and resources by collaborating with peers, thereby enriching their own learning experience.","""Obtaining an advanced educational degree""",Dedicated Scholar - Focused on mastering the subject matter through structured collaboration and diligent study habits.,"Resourceful Networker - Skilled at connecting with others to pool knowledge and resources, optimizing collective learning outcomes."
"{'Abbreviation': 'Being passionate', 'Full label': '""Being really passionate about something""'}",Relationship Building,"To investigate how dispositional traits and situational factors shape social behavior around shared passion, we chose 'Relationship Building' as the social goal category. This allows us to explore how agents with distinct personal goals interact when both are passionate but have differing priorities—one seeking validation and the other aiming to inspire. The roles (Mentor/Enthusiast vs. Validation-Seeker) create natural tension while aligning with the shared goal.",To have their passion acknowledged as impressive by the other agent,To inspire the other agent to adopt their passion as a new interest,"""Being really passionate about something""",Validation-Seeker,Mentor/Enthusiast
"{'Abbreviation': 'Taking risks', 'Full label': '""Not being fearful , being able to take risks""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because the shared goal of 'not being fearful and being able to take risks' often requires trust and emotional support, which are foundational in relationship building. Each agent's personal goal reflects their unique motivation and perspective while contributing to this shared objective.",To encourage the other agent to take risks by providing reassurance and emphasizing past successes.,To express vulnerabilities and fears openly in order to receive validation and build confidence.,"""Not being fearful , being able to take risks""",Supportive Mentor,Apprehensive Learner
"{'Abbreviation': 'Setting examples', 'Full label': '""Setting good examples""'}",Relationship Building,"For the shared goal 'Setting good examples,' we chose the 'Relationship Building' social goal category because setting good examples often involves influencing others positively, which naturally fosters relationships. Each agent has a distinct personal goal aligned with their role—one focuses on mentoring and guidance (Teacher/Mentor), while the other emphasizes learning and emulation (Student/Novice). These goals can be evaluated based on how effectively they influence each other's behavior and attitudes in a conversation.",To mentor the other agent by demonstrating exemplary behavior and reinforcing positive values.,To learn from the other agent's example and apply those lessons to improve personal conduct.,"""Setting good examples""",Teacher/Mentor,Student/Novice
"{'Abbreviation': 'Aspirations', 'Full label': '""Achieving my aspirations""'}",Relationship Building,"The chosen social goal category 'Relationship Building' aligns well with the shared goal 'Achieving my aspirations' because forming strong relationships can be instrumental in reaching personal aspirations through mutual support and collaboration. Each agent's personal goal reflects their unique perspective on how relationships can help them achieve their aspirations, and their social roles influence how they interact to build these relationships.",To establish a supportive network of peers who can provide guidance and opportunities aligned with my career aspirations.,To connect with individuals who share similar ambitions and can collaborate on projects that advance mutual goals.,"""Achieving my aspirations""",Mentee Seeking Guidance,Collaborative Peer
"{'Abbreviation': 'Firm values', 'Full label': '""Having firm values""'}",Relationship Building,"We chose 'Relationship Building' as the social goal category because 'having firm values' often involves aligning or negotiating personal beliefs with others, which is foundational in forming meaningful relationships. The agents' personal goals reflect their individual motivations within this context, while their roles shape how they interact.",To persuade the other agent to adopt their core values by providing logical reasoning and emotional appeals.,To find common ground between their values and the other agent's values while maintaining their own core principles.,"""Having firm values""",Advocate,Mediator
"{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}",Identity Recognition,"The shared goal 'Being good looking' can intersect with various social goal categories, but 'Identity Recognition' is particularly relevant as it involves how individuals perceive and seek validation for their self-concept, including physical appearance. This category allows for exploring how agents seek acknowledgment or validation of their appearance, which ties directly to the shared goal.",To receive compliments and validation from others about their appearance.,To have their unique sense of style and appearance acknowledged as distinctive.,"""Being good looking""",The Seeker of Validation,The Trendsetter
"{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because 'Appreciating the arts' often involves subjective interpretations and emotional connections, making it conducive to forming new bonds or deepening existing ones. The personal goals are designed to reflect each agent's unique perspective while aligning with the shared goal, allowing for measurable outcomes in conversation (e.g., sharing opinions vs. seeking understanding). The roles of 'Art Enthusiast' and 'Casual Visitor' create complementary dynamics where one seeks validation and connection while the other explores new perspectives.","Persuade the other agent that their favorite art movement (e.g., Impressionism) is worthy of admiration.",Learn why certain art forms resonate emotionally with others to broaden their own appreciation.,"""Appreciating the arts""",Art Enthusiast,Casual Visitor
"{'Abbreviation': 'Mental health', 'Full label': '""Being mentally healthy""'}",Relationship Building,"To investigate how dispositional traits and situational factors shape social behavior in the context of mental health, we chose 'Relationship Building' as the social goal category. This category fits well with the shared goal of 'Being mentally healthy' as it emphasizes interpersonal connections that can support mental well-being. The two agents are assigned complementary personal goals that reflect their perspectives and motivations while contributing to the shared goal. Their social roles further shape their interactions.",To establish a supportive connection with the other agent by sharing personal struggles and offering empathy.,To gain confidence in expressing vulnerabilities and receiving emotional support from the other agent.,"""Being mentally healthy""",Peer Supporter (someone who listens actively and provides reassurance),Seeker of Support (someone exploring openness and trust in sharing emotions)
"{'Abbreviation': 'Support from others', 'Full label': '""Receiving support from others on projects I believe in""'}",Cooperation,"To investigate attribution theory through simulated agents, we chose 'Cooperation' as the social goal category since 'Receiving support from others on projects I believe in' inherently involves mutual collaboration. Each agent has a personal goal reflecting their perspective while working toward the shared goal. The personal goals are designed to be evaluable based on conversational outcomes.",Persuade the other agent to contribute their expertise to advance the project.,Seek reassurance that their contributions will be valued and influence the project's direction.,"""Receiving support from others on projects I believe in""",Project Leader (motivated to secure commitment from others),Potential Collaborator (seeks validation before investing effort)
"{'Abbreviation': 'Self-esteem', 'Full label': '""Having high self-image , self-esteem , self-respect , feeling good about myself""'}",Identity Recognition,"Given the shared goal of 'Having high self-image, self-esteem, self-respect, feeling good about myself,' the most relevant social goal category is 'Identity Recognition,' as this involves affirming one's identity and receiving acknowledgment from others. Two agents can achieve this shared goal while pursuing distinct personal goals tailored to their roles—one seeking validation and the other offering support.",To receive explicit validation and admiration from others to reinforce their self-worth.,To provide supportive feedback and affirmations to help boost their partner's self-esteem.,"""Having high self-image , self-esteem , self-respect , feeling good about myself""",Seeker of Validation,Encourager
"{'Abbreviation': 'Good parent', 'Full label': '""Being a good parent (teaching , providing , transmitting values)""'}",Relationship Maintenance,"To explore attribution theory in parenting contexts, we selected 'Relationship Maintenance' as the social goal category. This aligns with the shared goal of 'being a good parent', as maintaining healthy relationships is crucial for effective teaching, providing, and value transmission. The agents' personal goals reflect different perspectives on achieving this, while their roles influence their interaction styles.",To foster emotional security in their child by demonstrating consistent support and open communication.,To establish clear boundaries and expectations to promote responsibility and respect.,"""Being a good parent (teaching , providing , transmitting values)""",Nurturer (emphasizes emotional connection and reassurance),Disciplinarian (focuses on structure and accountability)
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive , exciting , fascinating , impressing others""'}",Competition,"We selected 'Competition' as the social goal category because the shared goal of 'being socially attractive, exciting, fascinating, impressing others' naturally aligns with competitive dynamics where individuals strive to outperform or outshine one another in social settings. This creates fertile ground for studying attribution theory, as agents will interpret each other's behavior through the lens of dispositional traits (e.g., arrogance, charm) or situational factors (e.g., audience pressure). The personal goals reflect distinct motivational perspectives while remaining evaluable based on conversational outcomes.",To dominate conversations by showcasing exclusive experiences and eliciting admiration from peers.,To subtly undermine the other's credibility while appearing modest yet intriguing.,"""Being socially attractive , exciting , fascinating , impressing others""",Charismatic Storyteller (uses dramatic narratives to command attention),Skeptical Observer (challenges claims with witty questions while maintaining likability)
"{'Abbreviation': 'Overcoming failure', 'Full label': '""Overcoming failure , putting myself back on my feet after a failure""'}",Relationship Building,"Given the shared goal of 'Overcoming failure, putting myself back on my feet after a failure,' the most relevant social goal category is 'Relationship Building.' This is because overcoming failure often requires emotional support, encouragement, and constructive feedback from others, which aligns with forming or strengthening interpersonal bonds.",To seek validation and encouragement from the other agent to rebuild confidence after experiencing failure.,To provide empathetic support and constructive advice to help the other agent regain motivation and perspective.,"""Overcoming failure , putting myself back on my feet after a failure""",The Struggler (someone actively dealing with failure and seeking reassurance),The Mentor (someone offering guidance and emotional support)
"{'Abbreviation': 'Others to rely', 'Full label': '""Having others to rely on""'}",Relationship Maintenance,"The shared goal 'Having others to rely on' aligns closely with Relationship Building and Relationship Maintenance, as it involves fostering trust and interdependence. For this simulation, Relationship Maintenance is chosen, as it reflects the ongoing effort to sustain reliable connections. The agents' personal goals highlight their motivations within this context, balancing emotional support and practical reliability. Their assigned social roles shape their interactions: Agent1 seeks reassurance from a trusted friend, while Agent2 aims to reinforce their role as dependable.",To receive consistent emotional support and reassurance from Agent2.,To demonstrate reliability and strengthen Agent1's trust in their dependability.,"""Having others to rely on""",Seeker of Support,Dependable Confidant
"{'Abbreviation': 'Religious traditions', 'Full label': '""Engaging in religious traditions""'}",Identity Recognition,The chosen social goal category is 'Identity Recognition' as engaging in religious traditions often involves affirming or exploring one's personal and social identity within a faith community. This category allows for rich interaction between agents with differing perspectives on tradition.,To reaffirm their connection to ancestral religious practices and strengthen their personal identity within the tradition.,To explore how modern interpretations of the tradition can coexist with historical practices while maintaining authentic identity.,"""Engaging in religious traditions""",Traditionalist,Modernizer
"{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}",Conflict Resolution,"We chose 'Conflict Resolution' as the social goal category because avoiding feelings of guilt often involves resolving conflicts or tensions that could otherwise lead to guilt-inducing outcomes. By focusing on resolving misunderstandings or disputes harmoniously, both agents can achieve their shared goal of avoiding guilt while also pursuing their individual objectives.",Ensure the other agent acknowledges their perspective to prevent resentment.,Avoid blame by presenting themselves as reasonable and empathetic.,"""Avoiding feelings of guilt""",Advocate for Reconciliation (seeks mutual understanding),Defensive Harmonizer (avoids appearing at fault)
"{'Abbreviation': 'Leader', 'Full label': '""Being a leader""'}",Identity Recognition,"The chosen social goal category is 'Identity Recognition', as leadership often involves how individuals perceive themselves and others within a social hierarchy. Each agent's personal goal reflects their unique perspective on leadership, influenced by their distinct roles.",Establish myself as a confident and competent leader in the eyes of my peer.,Seek validation from my peer that my leadership style is effective and respected.,"""Being a leader""",Assertive Visionary,Supportive Collaborator
"{'Abbreviation': 'Being private', 'Full label': '""Keeping to myself being private""'}",Information Acquisition,"Given the shared goal of 'Keeping to myself being private,' the social goal category of 'Information Acquisition' aligns well, as it involves one agent seeking to learn more about the other while respecting their privacy. Another suitable category is 'Relationship Maintenance,' where agents aim to sustain a relationship while honoring boundaries.",To subtly gather information about the other person's interests without violating their privacy.,To deflect personal questions politely while maintaining a friendly demeanor.,"""Keeping to myself being private""",Curious Observer,Privacy Defender
"{'Abbreviation': 'Being practical', 'Full label': '""Being practical""'}",Cooperation,"The shared goal 'Being practical' aligns well with the 'Cooperation' social goal category, as it involves working together efficiently to achieve practical outcomes. To create distinct personal goals, Agent 1 is motivated to streamline processes for efficiency, while Agent 2 focuses on ensuring practicality aligns with long-term sustainability. Their roles—Project Manager and Sustainability Consultant—reflect their priorities in achieving the shared goal.",To identify and propose the most efficient methods to accomplish the shared practical goal,To ensure that the practical solutions considered are also sustainable and feasible in the long term,"""Being practical""",Project Manager,Sustainability Consultant
"{'Abbreviation': 'Providing family', 'Full label': '""Providing my spouse or children (or both) with a feeling of financial security and a home to come back to""'}",Relationship Maintenance,We selected 'Relationship Maintenance' as the social goal category because the shared goal revolves around sustaining familial bonds and ensuring emotional and financial security within the family unit. This aligns closely with maintaining and nurturing relationships.,To ensure that financial decisions are made jointly and transparently to foster trust and mutual understanding in the relationship.,To provide emotional reassurance and stability by demonstrating long-term financial planning and commitment to the family's well-being.,"""Providing my spouse or children (or both) with a feeling of financial security and a home to come back to""",Financial Planner,Emotional Supporter
"{'Abbreviation': 'Feeling safe', 'Full label': '""Feeling safe and secure""'}",Relationship Building,"To explore attribution theory in the context of feeling safe and secure, we selected 'Relationship Building' as the social goal category. This choice allows us to examine how agents with distinct personal goals and roles interact to foster mutual trust and security. The first agent aims to establish trust through vulnerability, while the second seeks to demonstrate competence and reliability. Their roles as 'Trust Seeker' and 'Reliable Partner' reflect these motivations and provide a clear framework for evaluating goal achievement.",To establish trust by sharing personal vulnerabilities and assessing the other's response.,To demonstrate reliability and competence in order to create a sense of security.,"""Feeling safe and secure""",Trust Seeker,Reliable Partner
"{'Abbreviation': 'Education', 'Full label': '""Getting an education""'}",Cooperation,"We selected 'Cooperation' as the social goal category because 'Getting an education' often involves collaborative efforts between individuals, such as students and educators, to achieve mutual success. This aligns well with studying how dispositional traits and situational factors interact in shared learning environments.",To actively participate in group discussions and contribute original ideas to enhance collective learning.,To facilitate the learning process by providing clear explanations and constructive feedback to peers.,"""Getting an education""",Engaged Student,Supportive Tutor
