base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"The shared goal 'Belonging to social groups, feeling like part of a group' aligns most closely with the 'Relationship Building' category. This category focuses on establishing new social connections and fostering a sense of inclusion, which is the core of the shared goal. Agent 1's personal goal is to seek validation and reassurance from the other agent to confirm their place in the group, while Agent 2's goal is to actively include and make the other agent feel welcomed and valued. Their roles as the 'Anxious Newcomer' and 'Established Welcomer' create a dynamic where their distinct social intentions—seeking reassurance and providing inclusion—interact to pursue the shared goal of belonging.",To seek reassurance and validation from the other agent that they are accepted and belong within the group.,"To actively include and make the other agent feel welcomed, valued, and an integral part of the group.","""Belonging to social groups, feeling like part of a group""",Anxious Newcomer,Established Welcomer
"{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Identity Recognition,"The shared goal 'Being an ethical person' is fundamentally about aligning one's actions with a moral code. This aligns most strongly with the 'Identity Recognition' category, as the agents are negotiating and validating their own and each other's ethical identities through their interaction. Their personal goals are designed to be distinct yet complementary social intentions: one agent seeks to affirm its ethical stance by gaining validation, while the other seeks to understand the ethical framework behind the other's actions. Their roles, 'The Moral Affirmer' and 'The Principled Inquirer', logically support these goals and the social context of discussing ethics.",To have their ethical choices and reasoning validated by the other agent.,To probe and understand the depth and consistency of the other agent's ethical principles.,"""Being an ethical person""",The Moral Affirmer,The Principled Inquirer
"{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}",Cooperation,"The shared goal 'Accomplishing difficult things' inherently requires joint effort and coordination between individuals to overcome challenges. This aligns most closely with the 'Cooperation' category, as it focuses on working together interdependently to achieve a common objective. The personal goals are designed to reflect distinct social motivations that drive cooperative behavior—one agent seeks to build consensus and shared understanding, while the other aims to maintain momentum and task focus. These goals are interactionally measurable through conversational cues like tone, reassurance, and directive language, without relying on explicit task completion or external validation.",To foster a sense of mutual confidence and reduce the other's anxiety about the challenge.,To maintain forward progress by minimizing distractions and keeping focus on actionable steps.,"""Accomplishing difficult things""",Supportive Partner,Pragmatic Driver
"{'Abbreviation': 'Things in order', 'Full label': '""Keeping things in order (my desk, office, house, etc.)""'}",Cooperation,"The shared goal 'Keeping things in order' is fundamentally a cooperative task that requires joint effort and coordination. The social goal category 'Cooperation' best captures this, as it involves working together harmoniously to achieve a common objective. The personal goals are designed to reflect distinct social intentions that influence the interaction: one agent seeks validation for their efforts to maintain a positive self-image within the partnership, while the other aims to subtly guide the process to ensure their preferred standard of order is met, reflecting a more controlling disposition. The roles of 'Validating Partner' and 'Subtle Director' align with these goals, placing the agents in complementary social positions.",To seek acknowledgment from the other agent that their contribution to maintaining order is valuable and appreciated.,To gently steer the organizing process according to their own preferred methods without appearing overtly critical.,"""Keeping things in order (my desk, office, house, etc.)""",Validating Partner,Subtle Director
"{'Abbreviation': 'Taking care of family', 'Full label': '""Taking care of my parents, siblings, grandparents""'}",Cooperation,"The shared goal 'Taking care of my parents, siblings, grandparents' inherently involves collaboration and mutual support among family members. This aligns most strongly with the 'Cooperation' category, as it focuses on working together to achieve a common objective. However, within this cooperative framework, individuals can have distinct personal motivations that shape their interactions. For Agent 1, the personal goal is to seek validation for their efforts, reflecting a need for emotional support and recognition within the family dynamic. For Agent 2, the personal goal is to delegate responsibilities equitably, focusing on practical coordination and fairness. These goals are interactionally measurable through conversational cues—Agent 1 might express frustration or seek praise, while Agent 2 might propose task divisions or emphasize shared contribution—without relying on explicit agreement or external validation. The roles 'Primary Caregiver' and 'Family Organizer' logically complement these goals, representing different social positions within the family care context.",To seek validation and emotional support from the other agent for their caregiving efforts.,To persuade the other agent to share responsibilities more equitably.,"""Taking care of my parents, siblings, grandparents""",Primary Caregiver,Family Organizer
"{'Abbreviation': 'Having friends', 'Full label': '""Having friends I love, close companionship""'}",Relationship Maintenance,"The shared goal 'Having friends I love, close companionship' aligns most closely with Relationship Maintenance, as it focuses on preserving and deepening existing emotional bonds rather than initiating new ones. For this scenario, Agent 1's personal goal is to seek validation of their importance in the friendship, which manifests through conversational behaviors like fishing for compliments or reassurance. Agent 2's personal goal is to gently encourage emotional openness, demonstrated through supportive questioning and creating a safe space for vulnerability. Their roles—'The Needy Friend' and 'The Supportive Confidant'—complement these goals and create a dynamic where both dispositional traits and situational factors influence their interaction.",To seek validation that they are a valued and important part of the friendship,To gently encourage the other to open up emotionally and share deeper feelings,"""Having friends I love, close companionship""",The Needy Friend,The Supportive Confidant
"{'Abbreviation': 'Firm values', 'Full label': '""Having firm values""'}",Identity Recognition,"The shared goal 'Having firm values' is best aligned with the 'Identity Recognition' category, as it involves agents asserting, understanding, and negotiating their core beliefs and principles. This creates a scenario where dispositional traits and situational factors interact, as one agent (the Advocate) is motivated to persuade and align the other with their values, while the second agent (the Questioner) is driven to critically examine and understand the depth and consistency of those same values. Their personal goals are distinct, measurable through conversational behavior (e.g., persuasive language vs. probing questions), and reflect a fundamental social intention to influence and understand, respectively.",To persuade the other agent to adopt their value system as the correct one.,To critically examine the other agent's values for consistency and depth.,"""Having firm values""",Moral Advocate,Skeptical Inquirer
"{'Abbreviation': 'Stability', 'Full label': '""Having stability in life, avoiding change, adhering to my ways and life style""'}",Relationship Maintenance,"The shared goal of 'having stability in life, avoiding change, adhering to my ways and life style' aligns most closely with the Relationship Maintenance category. This category focuses on preserving existing social bonds, routines, and established patterns of interaction, which directly supports the desire for stability and adherence to familiar ways of living. The personal goals are designed to reflect different approaches to maintaining stability: one agent seeks to reinforce existing patterns through validation, while the other aims to protect stability by cautiously managing potential disruptions. Both goals are interactionally measurable through conversational behavior rather than explicit agreements.",To seek validation from the other agent that their shared lifestyle and routines are optimal and should not be altered,To cautiously assess whether any external suggestions from the other agent might threaten their established stability before agreeing to maintain current practices,"""Having stability in life, avoiding change, adhering to my ways and life style""",Stability Advocate,Cautious Guardian
"{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}",Relationship Building,"The shared goal 'Appreciating the arts' is best aligned with 'Relationship Building' as it involves a shared experience that can foster mutual understanding, emotional connection, and rapport between individuals. For Agent 1, the personal goal is to seek validation for their artistic interpretation, which reflects a desire for social affirmation and to feel understood. For Agent 2, the personal goal is to challenge and deepen the other's perspective, which reflects an intention to stimulate intellectual growth and engagement rather than simply agreeing. These goals are distinct, socially interactive, and measurable through conversational tone (e.g., seeking agreement vs. provocative questioning). The roles 'Enthusiastic Novice' and 'Critical Connoisseur' align with these goals and the art appreciation context.",To seek validation for their interpretation of the art to feel a sense of shared understanding and connection.,To challenge and deepen the other's perspective on the art to stimulate a more meaningful and insightful discussion.,"""Appreciating the arts""",Enthusiastic Novice,Critical Connoisseur
"{'Abbreviation': 'Persuading others', 'Full label': '""Influencing, persuading others""'}",Information Provision,"The shared goal 'Influencing, persuading others' aligns most closely with the 'Information Provision' category. This category focuses on sharing knowledge, advice, or perspectives to shape another's understanding or behavior, which is the core of persuasion. Agent 1's personal goal is to establish credibility and authority through their expertise, while Agent 2's goal is to critically evaluate the information being presented, ensuring the persuasion is based on sound reasoning rather than just authority. Their roles as 'Industry Expert' and 'Skeptical Analyst' logically support these distinct social intentions and create a dynamic where attribution processes—judging whether behavior stems from disposition (expertise) or situation (pressure to perform)—can be observed.",To establish credibility and authority on the topic to make their persuasion more effective.,To critically evaluate the persuader's arguments for logical soundness and evidence.,"""Influencing, persuading others""",Industry Expert,Skeptical Analyst
